candidate,size_label,length,angle,chi,method,ordering,substeps,infidelity,fidelity,state_norm,final_max_bond,peak_max_bond,final_param_count,peak_param_count,est_transient_elements,total_discarded_weight,max_step_discarded_weight,max_event_discarded_weight,n_svd,n_evolver_calls,runtime_s,d_h,d_u,exact_max_bond,notes
oat,N16,16,0.5,4,mpo_gatewise,lexicographic,0,0.008196004182098537,0.9918039958179015,0.9946932562448196,4,4,412,424,1448,0.009429757808844464,0.001098098044238799,0.001098098044238799,1710,0,0.34630207502050325,3,9,8,
oat,N16,16,0.5,4,mpo_gatewise,by_distance,0,0.013924763433974197,0.9860752365660258,0.9768138083367971,4,4,424,424,1448,0.046912292034934716,0.0013833722218331078,0.0006229083700314754,1710,0,0.3493501479970291,3,9,8,
oat,N16,16,0.5,4,mpo_layer,,0,9.401045959034349e-06,0.999990598954041,0.9999952994658925,4,9,400,960,960,9.401083774112307e-06,9.401083774112307e-06,1.815720275872233e-06,15,0,0.003355645982082933,3,9,8,
oat,N16,16,0.5,4,variational_layer,,0,0.00819600418210309,0.9918039958178969,0.9999999999999908,4,4,412,412,64,8.030047486992494e-09,8.030047486992494e-09,3.814548145350789e-09,30,0,0.17278184602037072,3,9,8,sweeps=1 converged=True
oat,N16,16,0.5,4,oracle_compress,,0,9.401045965251598e-06,0.9999905989540347,0.9999952994659357,4,4,400,400,128,9.401083774005127e-06,9.401083774005127e-06,1.815720275871798e-06,15,0,0.0023496749927289784,3,9,8,
oat,N16,16,0.5,8,tdvp_layer,,1,0.0008652906804903493,0.9991347093195097,1.0000000000000053,4,4,412,412,32,6.527165739734585e-33,6.527165739734585e-33,6.527165739734585e-33,29,57,0.015063719998579472,3,9,8,
oat,N16,16,0.5,8,tdvp_layer,,2,5.415832545130339e-05,0.9999458416745487,0.9999999999994488,8,8,1280,1280,224,1.1225374522687203e-12,1.1225374522687203e-12,1.405930639205471e-13,58,114,0.03721596795367077,3,9,8,
oat,N16,16,0.5,8,tdvp_layer,,4,3.391816219444621e-06,0.9999966081837806,0.9999999999988701,8,8,1064,1064,256,2.2399877379029787e-12,2.2399877379029787e-12,6.559290379649308e-13,116,228,0.07972148503176868,3,9,8,
oat,N16,16,0.5,8,tdvp_layer,,8,2.1213360745786503e-07,0.9999997878663925,0.9999999999994253,8,8,928,928,224,1.2133650382219296e-12,1.2133650382219296e-12,9.305106127240677e-14,232,456,0.15149024699348956,3,9,8,
oat,N16,16,0.5,8,mpo_gatewise,lexicographic,0,0.0045856130234692705,0.9954143869765307,0.9977024826015275,8,8,1268,1292,4604,0.002527813927001969,0.0006956693217155486,0.0006956693217155486,1710,0,0.37219268101034686,3,9,8,
oat,N16,16,0.5,8,mpo_gatewise,by_distance,0,0.0018897806842369524,0.998110219315763,0.9975877053457368,8,8,1448,1448,4776,0.004830203637446559,0.0003195783165579736,0.00030299445920802974,1710,0,0.38765702198725194,3,9,8,
oat,N16,16,0.5,8,mpo_layer,,0,0.0,1.0,0.9999999999999267,8,9,928,960,960,4.354836887286285e-15,4.354836887286285e-15,4.354836887286285e-15,15,0,0.003502027946524322,3,9,8,
oat,N16,16,0.5,8,variational_layer,,0,0.004585613023465274,0.9954143869765347,0.9999999999999999,8,8,1268,1268,256,8.360038681296693e-17,8.360038681296693e-17,2.830451487903608e-17,30,0,0.17882459895918146,3,9,8,sweeps=1 converged=True
oat,N16,16,0.5,8,oracle_compress,,0,0.0,1.0,0.9999999999999715,8,8,928,928,256,6.598887010306222e-33,6.598887010306222e-33,1.0180221470781546e-33,15,0,0.0024064630270004272,3,9,8,
oat,N16,16,0.5,16,tdvp_layer,,1,0.0008652906804903493,0.9991347093195097,1.0000000000000053,4,4,412,412,32,6.527165739734585e-33,6.527165739734585e-33,6.527165739734585e-33,29,57,0.014908916025888175,3,9,8,
oat,N16,16,0.5,16,tdvp_layer,,2,5.415832220900807e-05,0.999945841677791,0.9999999999996156,9,9,1448,1448,252,7.411609887780174e-13,7.411609887780174e-13,9.431539792760666e-14,58,114,0.03888534504221752,3,9,8,
oat,N16,16,0.5,16,tdvp_layer,,4,3.391811203456996e-06,0.9999966081887965,0.9999999999996072,9,9,1164,1164,288,8.286500408903915e-13,8.286500408903915e-13,9.90792473317203e-14,116,228,0.07920282398117706,3,9,8,
oat,N16,16,0.5,16,tdvp_layer,,8,2.1213360745786503e-07,0.9999997878663925,0.9999999999994253,8,8,928,928,224,1.2133650382219296e-12,1.2133650382219296e-12,9.305106127240677e-14,232,456,0.15126121300272644,3,9,8,
oat,N16,16,0.5,16,mpo_gatewise,lexicographic,0,6.15474338161448e-12,0.9999999999938453,0.9999999999995244,9,14,958,1998,6800,9.622427842738602e-13,6.645719990536418e-14,6.619849061525205e-14,1710,0,0.3799088540254161,3,9,8,
oat,N16,16,0.5,16,mpo_gatewise,by_distance,0,9.990405551418835e-05,0.9999000959444858,0.9998958161891345,16,16,4776,4776,15016,0.00020837820512813613,1.5471298794368382e-05,1.4297539562548551e-05,1710,0,0.4937993990024552,3,9,8,
oat,N16,16,0.5,16,mpo_layer,,0,0.0,1.0,0.9999999999999267,8,9,928,960,960,4.354836887286285e-15,4.354836887286285e-15,4.354836887286285e-15,15,0,0.0035299460287205875,3,9,8,
