cut,J,m,probe_draw,entropy
10,0.4,32,4,0.004282429705765588
10,0.4,64,4,0.00463706002538737
10,0.6,4,0,0.0793420756305385
10,0.6,8,0,0.037819206137252995
10,0.6,16,0,0.034852397703381194
10,0.6,32,0,0.02056996298554054
10,0.6,64,0,0.026310736562358314
10,0.6,4,1,0.009735933879453363
10,0.6,8,1,0.015629247247979882
10,0.6,16,1,0.025722932397450833
10,0.6,32,1,0.01863189039111789
10,0.6,64,1,0.014876573814356794
10,0.6,4,2,0.004827096542397136
10,0.6,8,2,0.004612627380433424
10,0.6,16,2,0.007130018648315981
10,0.6,32,2,0.01947984164936467
10,0.6,64,2,0.017900975706736547
10,0.6,4,3,0.005963455096257245
10,0.6,8,3,0.02025433120719236
10,0.6,16,3,0.020920357663091308
10,0.6,32,3,0.01602564695164342
10,0.6,64,3,0.018136932793887714
10,0.6,4,4,0.009928813895571272
10,0.6,8,4,0.018674529526065915
10,0.6,16,4,0.021038092404590897
10,0.6,32,4,0.018835954189663627
10,0.6,64,4,0.01763575632324815
10,0.8,4,0,0.030298010469418265
10,0.8,8,0,0.03365100875598705
10,0.8,16,0,0.06270889665033968
10,0.8,32,0,0.053415850256174215
10,0.8,64,0,0.040685350267693605
10,0.8,4,1,0.02592081793588013
10,0.8,8,1,0.016916545391004324
10,0.8,16,1,0.01592356328280347
10,0.8,32,1,0.03444848485188281
10,0.8,64,1,0.0407481338801827
10,0.8,4,2,0.16511860281516813
10,0.8,8,2,0.020812705302967603
10,0.8,16,2,0.061065426908722284
10,0.8,32,2,0.056207667127582114
10,0.8,64,2,0.056362937863598694
10,0.8,4,3,0.03241165568035973
10,0.8,8,3,0.03814880785160404
10,0.8,16,3,0.04726981154509554
10,0.8,32,3,0.05184249912522881
10,0.8,64,3,0.04912161647347851
10,0.8,4,4,0.0761647829299547
10,0.8,8,4,0.04581975823068444
10,0.8,16,4,0.05263499117724537
10,0.8,32,4,0.031201466140701524
10,0.8,64,4,0.03967652095005175
10,1.0,4,0,0.05487852804700893
10,1.0,8,0,0.0868664728100802
10,1.0,16,0,0.062049793385157745
10,1.0,32,0,0.10050341036586423
10,1.0,64,0,0.10679172724157994
10,1.0,4,1,0.06821413704052491
10,1.0,8,1,0.09211879491003191
10,1.0,16,1,0.13892084952799535
10,1.0,32,1,0.10042803823288926
10,1.0,64,1,0.07869634975090498
10,1.0,4,2,0.06432659073887867
10,1.0,8,2,0.029434276792218727
10,1.0,16,2,0.08124452654489993
10,1.0,32,2,0.06611304184095579
10,1.0,64,2,0.08338593342668524
10,1.0,4,3,0.10766087397242967
10,1.0,8,3,0.050562350015217035
10,1.0,16,3,0.0656310081186146
10,1.0,32,3,0.07465596676790667
10,1.0,64,3,0.09555442126242146
10,1.0,4,4,0.03591969828350356
10,1.0,8,4,0.03471539153533235
