#time	operator	index_1	index_2	value
0	ZZ	22	14	-1
0	ZZ	22	15	-1
0	ZZ	22	16	1
0	ZZ	22	17	1
0	ZZ	22	18	1
0	ZZ	22	19	1
0	ZZ	22	20	1
0	ZZ	22	21	1
0	ZZ	22	23	1
0	ZZ	22	24	1
0	ZZ	22	25	1
0	ZZ	22	26	1
0	ZZ	22	27	1
0	ZZ	22	28	1
0	ZZ	22	29	1
0	ZZ	22	30	1
0	ZZ	23	1	-1
0	ZZ	23	2	-1
0	ZZ	23	3	-1
0	ZZ	23	4	-1
0	ZZ	23	5	-1
0	ZZ	23	6	-1
0	ZZ	23	7	-1
0	ZZ	23	8	-1
0	ZZ	23	9	-1
0	ZZ	23	10	-1
0	ZZ	23	11	-1
0	ZZ	23	12	-1
0	ZZ	23	13	-1
0	ZZ	23	14	-1
0	ZZ	23	15	-1
0	ZZ	23	16	1
0	ZZ	23	17	1
0	ZZ	23	18	1
0	ZZ	23	19	1
0	ZZ	23	20	1
0	ZZ	23	21	1
0	ZZ	23	22	1
0	ZZ	23	24	1
0	ZZ	23	25	1
0	ZZ	23	26	1
0	ZZ	23	27	1
0	ZZ	23	28	1
0	ZZ	23	29	1
0	ZZ	23	30	1
0	ZZ	24	1	-1
0	ZZ	24	2	-1
0	ZZ	24	3	-1
0	ZZ	24	4	-1
0	ZZ	24	5	-1
0	ZZ	24	6	-1
0	ZZ	24	7	-1
0	ZZ	24	8	-1
0	ZZ	24	9	-1
0	ZZ	24	10	-1
0	ZZ	24	11	-1
0	ZZ	24	12	-1
0	ZZ	24	13	-1
0	ZZ	24	14	-1
0	ZZ	24	15	-1
0	ZZ	24	16	1
0	ZZ	24	17	1
0	ZZ	24	18	1
0	ZZ	24	19	1
0	ZZ	24	20	1
0	ZZ	24	21	1
0	ZZ	24	22	1
0	ZZ	24	23	1
0	ZZ	24	25	1
0	ZZ	24	26	1
0	ZZ	24	27	1
0	ZZ	24	28	1
0	ZZ	24	29	1
0	ZZ	24	30	1
0	ZZ	25	1	-1
0	ZZ	25	2	-1
0	ZZ	25	3	-1
0	ZZ	25	4	-1
0	ZZ	25	5	-1
0	ZZ	25	6	-1
0	ZZ	25	7	-1
0	ZZ	25	8	-1
