#time	quantity	value
7.6 	max_bond_dim	400
7.6 	duration_ms	87622719

7.7 	tr_rho	0.999999999999996
7.7 	S_2	19.8471677730066
7.7 	OSEE_center	0.622090071126749
7.7 	max_bond_dim	400
7.7 	duration_ms	89409439

7.8 	tr_rho	0.999999999999997
7.8 	S_2	19.8918548934515
7.8 	OSEE_center	0.604269171296377
7.8 	max_bond_dim	400
7.8 	duration_ms	90746914

7.9 	tr_rho	1
7.9 	S_2	19.9345208168911
7.9 	OSEE_center	0.586877171720428
7.9 	max_bond_dim	400
7.9 	duration_ms	92083248

8 	tr_rho	0.999999999632897
8 	S_2	19.9752499538338
8 	OSEE_center	0.569945179062195
8 	max_bond_dim	400
8 	duration_ms	93424667

8.1 	tr_rho	0.999999999999995
8.1 	S_2	20.0141232659326
8.1 	OSEE_center	0.553490335843964
8.1 	max_bond_dim	400
8.1 	duration_ms	95220255

8.2 	tr_rho	0.999999999999996
8.2 	S_2	20.0512191429142
8.2 	OSEE_center	0.537495747752558
8.2 	max_bond_dim	400
8.2 	duration_ms	96558743

8.3 	tr_rho	0.999999999999994
8.3 	S_2	20.0866128889251
8.3 	OSEE_center	0.52191595178769
8.3 	max_bond_dim	400
8.3 	duration_ms	97896137

8.4 	tr_rho	0.999999999886661
8.4 	S_2	20.120377081388
8.4 	OSEE_center	0.506692523714211
8.4 	max_bond_dim	400
8.4 	duration_ms	99234249

8.5 	tr_rho	0.999999999999999
8.5 	S_2	20.1525812483508
8.5 	OSEE_center	0.491778067609594
8.5 	max_bond_dim	400
8.5 	duration_ms	101016730

8.6 	tr_rho	1
8.6 	S_2	20.1832926197216
8.6 	OSEE_center	0.477146954514978
8.6 	max_bond_dim	400
8.6 	duration_ms	102359561

8.7 	tr_rho	0.999999999999993
8.7 	S_2	20.2125758068402
8.7 	OSEE_center	0.462800010863386
8.7 	max_bond_dim	400
8.7 	duration_ms	103701546

8.8 	tr_rho	1.00000000001918
8.8 	S_2	20.2404930843966
8.8 	OSEE_center	0.448754626423124
8.8 	max_bond_dim	400
8.8 	duration_ms	105044571

8.9 	tr_rho	1
8.9 	S_2	20.2671042089233
8.9 	OSEE_center	0.435033354619083
8.9 	max_bond_dim	400
8.9 	duration_ms	106823189

9 	tr_rho	1
9 	S_2	20.292466957124
9 	OSEE_center	0.421650233579811
9 	max_bond_dim	400
9 	duration_ms	108164867

9.1 	tr_rho	1
9.1 	S_2	20.3166367817351
9.1 	OSEE_center	0.408608768245589
9.1 	max_bond_dim	400
9.1 	duration_ms	109504771

9.2 	tr_rho	0.999999999996246
9.2 	S_2	20.3396669284723
9.2 	OSEE_center	0.395903851649727
9.2 	max_bond_dim	400
9.2 	duration_ms	110849647

9.3 	tr_rho	1
9.3 	S_2	20.361608298929
9.3 	OSEE_center	0.383529124005744
9.3 	max_bond_dim	400
9.3 	duration_ms	112642773

9.4 	tr_rho	1
9.4 	S_2	20.3825099188279
9.4 	OSEE_center	0.371479611731615
9.4 	max_bond_dim	400
9.4 	duration_ms	113966099

9.5 	tr_rho	0.999999999999999
9.5 	S_2	20.4024187994077
9.5 	OSEE_center	0.359754489324732
9.5 	max_bond_dim	400
9.5 	duration_ms	115387686

9.6 	tr_rho	0.999999999926257
9.6 	S_2	20.4213800883448
9.6 	OSEE_center	0.348354510467527
9.6 	max_bond_dim	400
9.6 	duration_ms	116909179

9.7 	tr_rho	1
9.7 	S_2	20.4394369487163
9.7 	OSEE_center	0.337280096107158
9.7 	max_bond_dim	400
9.7 	duration_ms	118892693

9.8 	tr_rho	0.999999999999999
9.8 	S_2	20.4566308697314
9.8 	OSEE_center	0.326528006103771
9.8 	max_bond_dim	400
9.8 	duration_ms	120789827

9.9 	tr_rho	0.999999999999996
9.9 	S_2	20.4730015739095
9.9 	OSEE_center	0.31609296825431
9.9 	max_bond_dim	400
9.9 	duration_ms	122132192

10 	tr_rho	0.999999999995807
10 	S_2	20.4885871407591
10 	OSEE_center	0.305969013771033
10 	max_bond_dim	400
10 	duration_ms	123468506
