cut,J,m,probe_draw,entropy
10,1.6,64,0,0.07157103504196172
10,1.6,4,1,0.0379192193779765
10,1.6,8,1,0.03195039330165151
10,1.6,16,1,0.027281566400861847
10,1.6,32,1,0.042854730211650434
10,1.6,64,1,0.06543522108304445
10,1.6,4,2,0.02701355157974467
10,1.6,8,2,0.022141314198127725
10,1.6,16,2,0.048575120651107376
10,1.6,32,2,0.05567906177259114
10,1.6,64,2,0.06778884471855336
10,1.6,4,3,0.06366844652676425
10,1.6,8,3,0.06585034190640504
10,1.6,16,3,0.09745836938882543
10,1.6,32,3,0.07450389905825328
10,1.6,64,3,0.06799588838084034
10,1.6,4,4,0.07884950288515424
10,1.6,8,4,0.06846551524511228
10,1.6,16,4,0.06544707428912232
10,1.6,32,4,0.05138834482593232
10,1.6,64,4,0.04733900941388568
10,1.8,4,0,0.0885453760746139
10,1.8,8,0,0.1220407224513423
10,1.8,16,0,0.0758398350977388
10,1.8,32,0,0.08414529639048611
10,1.8,64,0,0.0787365524398532
10,1.8,4,1,0.09397710674605342
10,1.8,8,1,0.07371350790471044
10,1.8,16,1,0.07068898039079696
10,1.8,32,1,0.0682786541499562
10,1.8,64,1,0.08806369205298784
10,1.8,4,2,0.019697130639635
10,1.8,8,2,0.022665857925510895
10,1.8,16,2,0.04509078511654273
10,1.8,32,2,0.06664794615648914
10,1.8,64,2,0.06203777291001252
10,1.8,4,3,0.06323480503830704
10,1.8,8,3,0.053250961163487986
10,1.8,16,3,0.07687970687543504
10,1.8,32,3,0.07285732448503228
10,1.8,64,3,0.07915889835517094
10,1.8,4,4,0.02929312725274392
10,1.8,8,4,0.048128273991231575
10,1.8,16,4,0.05875191716312961
10,1.8,32,4,0.06746448452943467
10,1.8,64,4,0.06297641750481833
10,2.0,4,0,0.0262768813542846
10,2.0,8,0,0.07543396253238341
10,2.0,16,0,0.08395266038130365
10,2.0,32,0,0.09306325835317436
10,2.0,64,0,0.09537964372240244
10,2.0,4,1,0.013441252360521508
10,2.0,8,1,0.044926337522652314
10,2.0,16,1,0.06644144040691025
10,2.0,32,1,0.09072134185355808
10,2.0,64,1,0.08687875399718903
10,2.0,4,2,0.07411284235962406
10,2.0,8,2,0.0883478039256926
10,2.0,16,2,0.13850454422706232
10,2.0,32,2,0.09168347800643133
10,2.0,64,2,0.0982819184404278
10,2.0,4,3,0.01880513123533288
10,2.0,8,3,0.028420646875253534
10,2.0,16,3,0.04315846505140669
10,2.0,32,3,0.07092385542601326
10,2.0,64,3,0.07118065491230008
10,2.0,4,4,0.04901763032684179
10,2.0,8,4,0.06201200770737846
10,2.0,16,4,0.12104612477159235
10,2.0,32,4,0.1124425306443431
10,2.0,64,4,0.10364742804322091
