L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,4,0.9,32,32,1,1.0,0.01677697213077461,0.0,7.505401547671247,1
6,20,0.1,1.0,4,1.0,32,32,1,1.0,0.023815551632258868,0.0,7.250397183443119,1
6,20,0.1,1.0,4,1.1,32,32,1,1.0,0.033527080404652576,0.0,7.026583958479791,1
6,20,0.1,1.0,4,1.2,32,32,1,1.0,0.04624582770196121,0.0,6.856945229945034,1
6,20,0.1,1.0,4,1.3,32,32,1,1.0,0.06130218686889695,0.0,6.754019102135402,1
6,20,0.1,1.0,4,1.4,32,32,1,1.0,0.07708712366238413,0.0,6.717306894167972,1
6,20,0.1,1.0,4,1.5,32,32,1,1.0,0.09172783951460309,0.0,6.735411459954357,1
6,20,0.1,1.0,4,1.6,32,32,1,1.0,0.10384718192663754,0.0,6.791516375255842,1
6,20,0.1,1.0,4,1.7,32,32,1,1.0,0.11294009557497146,0.0,6.869092260727396,1
6,20,0.1,1.0,4,1.8,32,32,1,1.0,0.11932211213139547,0.0,6.9553928468270545,1
6,20,0.1,1.0,4,1.9,32,32,1,1.0,0.12383229294746287,0.0,7.042209467816667,1
6,20,0.1,1.0,4,2.0,32,32,1,1.0,0.1274633897158975,0.0,7.1247995895524445,1
6,20,0.1,1.0,5,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,10.160531773714693,1
6,20,0.1,1.0,5,0.1,32,32,1,1.0,8.772140192848778e-06,0.0,10.151574188804027,1
6,20,0.1,1.0,5,0.2,32,32,1,1.0,0.00012325532176812892,0.0,10.117859594397276,1
6,20,0.1,1.0,5,0.3,32,32,1,1.0,0.0005839884204134573,0.0,10.052297049711019,1
6,20,0.1,1.0,5,0.4,32,32,1,1.0,0.0017389312733320345,0.0,9.946586505041902,1
6,20,0.1,1.0,5,0.5,32,32,1,1.0,0.003933448688619982,0.0,9.79436919839391,1
6,20,0.1,1.0,5,0.6,32,32,1,1.0,0.007371391228377625,0.0,9.593933930177998,1
6,20,0.1,1.0,5,0.7,32,32,1,1.0,0.012053929632670404,0.0,9.350045483339816,1
6,20,0.1,1.0,5,0.8,32,32,1,1.0,0.017877788322888482,0.0,9.074747568382657,1
6,20,0.1,1.0,5,0.9,32,32,1,1.0,0.02487935903959523,0.0,8.786907132901527,1
6,20,0.1,1.0,5,1.0,32,32,1,1.0,0.03346753362699907,0.0,8.510077780237973,1
6,20,0.1,1.0,5,1.1,32,32,1,1.0,0.04436295163247176,0.0,8.268473367826452,1
6,20,0.1,1.0,5,1.2,32,32,1,1.0,0.058092946579317045,0.0,8.081726812086908,1
6,20,0.1,1.0,5,1.3,32,32,1,1.0,0.07437088558577802,0.0,7.960263432194754,1
6,20,0.1,1.0,5,1.4,32,32,1,1.0,0.09192913670983784,0.0,7.903449965458597,1
6,20,0.1,1.0,5,1.5,32,32,1,1.0,0.10899036857073281,0.0,7.901408865883393,1
6,20,0.1,1.0,5,1.6,32,32,1,1.0,0.12399511672593025,0.0,7.939288988345729,1
6,20,0.1,1.0,5,1.7,32,32,1,1.0,0.13608438255772726,0.0,8.001657072764024,1
6,20,0.1,1.0,5,1.8,32,32,1,1.0,0.14516817267911977,0.0,8.075291030606259,1
6,20,0.1,1.0,5,1.9,32,32,1,1.0,0.15171128943793616,0.0,8.15008336231407,1
6,20,0.1,1.0,5,2.0,32,32,1,1.0,0.1564279162502521,0.0,8.218749076001664,1
6,20,0.1,1.0,6,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,8.725931525452884,1
6,20,0.1,1.0,6,0.1,32,32,1,1.0,2.2398990810211208e-05,0.0,8.695200299237522,1
6,20,0.1,1.0,6,0.2,32,32,1,1.0,0.0003076504602866786,0.0,8.637207490074898,1
6,20,0.1,1.0,6,0.3,32,32,1,1.0,0.0014188797665067034,0.0,8.54633052022165,1
6,20,0.1,1.0,6,0.4,32,32,1,1.0,0.004112302486829707,0.0,8.41668155498518,1
6,20,0.1,1.0,6,0.5,32,32,1,1.0,0.009070016232374653,0.0,8.244851096924007,1
6,20,0.1,1.0,6,0.6,32,32,1,1.0,0.016603621703204303,0.0,8.031984426875592,1
6,20,0.1,1.0,6,0.7,32,32,1,1.0,0.026559942921962367,0.0,7.784871966501916,1
6,20,0.1,1.0,6,0.8,32,32,1,1.0,0.0386274575293969,0.0,7.516031747266873,1
6,20,0.1,1.0,6,0.9,32,32,1,1.0,0.05304877010183396,0.0,7.242715054166925,1
6,20,0.1,1.0,6,1.0,32,32,1,1.0,0.07124770841324002,0.0,6.984632338070763,1
