method,x_fraction,theta,median_infidelity,minimum_infidelity,maximum_infidelity,sample_count,below_plot_floor
hybrid_tdvp,0.31622776601683794,1.9869176531592203,0.1882831672255696,0.05582883183546039,0.2334787237103575,9,False
hybrid_tdvp,0.46415888336127775,2.9163962761324638,0.20029542486025453,0.057477049520655465,0.2817762264364754,9,False
hybrid_tdvp,0.5,3.141592653589793,0.19267585130306986,0.053596459819938214,0.2870981566738514,9,False
hybrid_tdvp,0.6812920690579608,4.280684318202959,0.15738424868561174,0.04398179249682799,0.2690538876381664,9,False
hybrid_tdvp,0.75,4.71238898038469,0.15137055809477273,0.04505520280976727,0.2622281553673692,9,False
hybrid_tdvp,1.0,6.283185307179586,0.16899974703521214,0.04939651618444296,0.25508238793964655,9,False
tebd_swap,0.0001,0.0006283185307179586,0.6275643390891699,0.5503310576755962,0.7277140027540577,9,False
tebd_swap,0.0001467799267622069,0.0009222454792211941,0.6275661161513757,0.5503283440602273,0.7277155046862532,9,False
tebd_swap,0.00021544346900318845,0.0013536712389686342,0.6275687758784747,0.5503244148857803,0.7277177229262247,9,False
tebd_swap,0.00031622776601683794,0.0019869176531592202,0.6275727904936117,0.5503187637147335,0.7277210083727418,9,False
tebd_swap,0.00046415888336127773,0.0029163962761324636,0.6275789216566692,0.5503107190196306,0.7277258943030189,9,False
tebd_swap,0.0006812920690579609,0.0042806843182029595,0.6275884351136828,0.5502994498556293,0.7277332026802611,9,False
tebd_swap,0.001,0.006283185307179587,0.6276035075848954,0.550284069714862,0.727744224309547,9,False
tebd_swap,0.0014677992676220691,0.009222454792211942,0.6276280227060864,0.5502639938903566,0.7277610349749303,9,False
tebd_swap,0.002154434690031882,0.013536712389686328,0.6276691707856579,0.5502399011900208,0.7277870700242288,9,False
tebd_swap,0.0031622776601683794,0.019869176531592203,0.6277407401303806,0.5502160682364938,0.7278282031730516,9,False
tebd_swap,0.004641588833612777,0.029163962761324633,0.6278700395971482,0.5502057076538107,0.7278948278524157,9,False
tebd_swap,0.006812920690579608,0.0428068431820296,0.6281128591602261,0.5502426677056167,0.7280059523288698,9,False
tebd_swap,0.01,0.06283185307179587,0.6285755746245885,0.5504063184904459,0.7281973322993261,9,False
tebd_swap,0.01467799267622069,0.09222454792211941,0.6294410553244665,0.5508744998650992,0.7286669030886146,9,False
tebd_swap,0.021544346900318822,0.13536712389686328,0.6311317865195788,0.5520467932385069,0.7297588031852534,9,False
tebd_swap,0.03162277660168379,0.198691765315922,0.634369227108617,0.5550215907345122,0.7319458127238473,9,False
tebd_swap,0.046415888336127774,0.29163962761324635,0.6388584441698034,0.5584566329642507,0.7341318100287777,9,False
tebd_swap,0.06812920690579609,0.42806843182029597,0.6460586158219919,0.5619151113945335,0.7388372736576694,9,False
tebd_swap,0.1,0.6283185307179586,0.6604465710618399,0.5625602888138523,0.7484492127472009,9,False
tebd_swap,0.1467799267622069,0.9222454792211943,0.6877446841691439,0.568943903286755,0.7658977922396843,9,False
tebd_swap,0.21544346900318823,1.353671238968633,0.703627273757641,0.5871639665982173,0.767469274586016,9,False
