task_id,family,gate,control,target,theta,x,seed,chi_max,method,n_sub,svd_threshold,infidelity_normalized,fidelity_normalized,norm_approx,norm_exact,norm_drift,discarded_weight,final_bond_profile,final_max_bond,final_param_count,min_kept_singular,cap_reached,positive_weight_truncated,cap_truncation_occurred,git_commit,git_dirty,git_diff_hash
7a3bb39824e17e61e9716694,pauli,rxx,,,0.001986917653053424,0.000316227766,11,16,gate_local_2tdvp,1,1e-13,3.682817384387249e-10,0.9999999996317183,0.9999999999999818,0.9999999999999996,-1.7763568394002505e-14,1.3898532340284818e-14,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,3.467111791937553e-07,True,True,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
0073b1426ce3b49087fd18d8,pauli,rxx,,,0.001986917653053424,0.000316227766,11,16,mpo_zipup,1,1e-13,0.0,1.0,1.0000000000000009,0.9999999999999996,1.3322676295501878e-15,1.8910151451514706e-31,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,3.120643908121402e-06,True,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
3dda74fb0b1a34eee21d21a2,pauli,rxx,,,0.001986917653053424,0.000316227766,11,16,tebd_swap,1,1e-13,0.0,1.0,1.0000000000000022,0.9999999999999996,2.6645352591003757e-15,6.275873163133541e-31,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,3.12064390811215e-06,True,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
31f0c5619ef4fcdebadd83a0,pauli,rxx,,,0.006283185307179587,0.001,11,16,gate_local_2tdvp,1,1e-13,3.820196381454366e-10,0.9999999996179804,0.9999999999999964,0.9999999999999994,-2.9976021664879227e-15,1.3381758502497105e-14,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,3.5441144809221803e-07,True,True,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
0c54c02aa31ed0ec93d8dd18,pauli,rxx,,,0.006283185307179587,0.001,11,16,mpo_zipup,1,1e-13,0.0,1.0,1.0000000000000009,0.9999999999999994,1.4432899320127035e-15,1.8490237777859e-31,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,9.868358653588075e-06,True,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
aaf66e3ecfa1c2d7d71375c0,pauli,rxx,,,0.006283185307179587,0.001,11,16,tebd_swap,1,1e-13,2.220446049250313e-16,0.9999999999999998,1.0000000000000016,0.9999999999999994,2.1094237467877974e-15,6.6901901592481725e-31,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,9.868358653584353e-06,True,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
7441dbbcca9135fc438cf7d3,pauli,rxx,,,0.019869176530534244,0.00316227766,11,16,gate_local_2tdvp,1,1e-13,2.220446049250313e-16,0.9999999999999998,1.0000000000000024,0.9999999999999996,2.886579864025407e-15,1.9541123031501834e-31,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,3.6582182411759705e-07,True,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
d6814a4fbe1ef25f4d3d1a44,pauli,rxx,,,0.019869176530534244,0.00316227766,11,16,mpo_zipup,1,1e-13,2.220446049250313e-16,0.9999999999999998,1.0,0.9999999999999996,4.440892098500626e-16,1.8975389901979665e-31,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,3.120553538182493e-05,True,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
03ec7275068c3fb188abe10f,pauli,rxx,,,0.019869176530534244,0.00316227766,11,16,tebd_swap,1,1e-13,4.440892098500626e-16,0.9999999999999996,1.0000000000000004,0.9999999999999996,8.881784197001252e-16,6.215464081156256e-31,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,3.1205535381817543e-05,True,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
07855ccd09dfd18476f581dc,pauli,rxx,,,0.06283185307179587,0.01,11,16,gate_local_2tdvp,1,1e-13,0.0,1.0,1.000000000000001,0.9999999999999996,1.5543122344752192e-15,1.8910981599103743e-31,"[1, 2, 4, 8, 16, 16, 16, 16, 16, 8, 4, 2, 1]",16,2728,1.1569411438887586e-06,True,False,False,724ef9179e6c47d81d15f4bed538ea5d7163eb8b,true,004ec68aadd3d3108195d617ae178ce96cf96301cf5f90ee80404b345eda37ce
