task_id,family,gate,control,target,theta,x,seed,chi_max,method,n_sub,svd_threshold,infidelity_normalized,fidelity_normalized,norm_approx,norm_exact,norm_drift,discarded_weight,final_bond_profile,final_max_bond,final_param_count,min_kept_singular,cap_reached,positive_weight_truncated,cap_truncation_occurred,git_commit,git_dirty,git_diff_hash,resolution_label
655116ba1efb4354181d9456,cnot_rank,cx,1,10,,,33,10,tebd_swap,1,1e-300,0.23600712405495894,0.7639928759450411,0.890162734840236,0.9999999999999996,-0.10983726515976355,0.3807680659024871,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.03729524930873686,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
3a2231551651cb2120736b6d,cnot_rank,cx,1,10,,,33,10,gate_local_2tdvp,1,1e-300,0.1101586438874318,0.8898413561125682,1.0000000000000009,0.9999999999999996,1.3322676295501878e-15,0.015615031048673646,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.011827285630547937,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_1
b35515ebb07eff8798628640,cnot_rank,cx,1,10,,,33,10,gate_local_2tdvp,16,1e-300,0.12462345774261507,0.8753765422573849,1.0,0.9999999999999996,4.440892098500626e-16,0.0016628750182134675,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.0008338846837135211,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_16
7744b73d2a41b059df4a39c1,cnot_rank,cx,1,10,,,33,10,gate_local_2tdvp,128,1e-300,0.12417422462991712,0.8758257753700829,1.0000000000000004,0.9999999999999996,8.881784197001252e-16,0.0002119201237780483,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,0.00010483230687112016,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_128
158b6de1531beaf82bee5264,cnot_rank,cx,1,10,,,33,10,gate_local_2tdvp,256,1e-300,0.12399393157324745,0.8760060684267525,1.0000000000000002,0.9999999999999996,6.661338147750939e-16,0.00010607923177941448,"[1, 2, 4, 8, 10, 10, 10, 10, 10, 8, 4, 2, 1]",10,1288,5.243708708357759e-05,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,fine_resolution
de8703111a820cf59d09387e,cnot_rank,cx,1,10,,,11,12,mpo_zipup,1,1e-300,0.005302458834525847,0.9946975411654742,0.9973452467252625,0.9999999999999993,-0.002654753274736854,0.005312810997252203,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",12,1704,0.011672823515150317,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
d34dc8a02ca72a44fab40d9a,cnot_rank,cx,1,10,,,11,12,tebd_swap,1,1e-300,0.04621026703739717,0.9537897329626028,0.9753511371294981,0.9999999999999993,-0.024648862870501276,0.22910565835687363,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",12,1704,0.027032574655887,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
20e77e9e3be22609fede36f1,cnot_rank,cx,1,10,,,11,12,gate_local_2tdvp,1,1e-300,0.01667656749876567,0.9833234325012343,1.0000000000000009,0.9999999999999993,1.5543122344752192e-15,0.0022072737252322515,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",12,1704,0.00293255547450924,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_1
5af956cc219fbc0a4b6d4c21,cnot_rank,cx,1,10,,,11,12,gate_local_2tdvp,16,1e-300,0.012241894170400114,0.9877581058295999,1.0000000000000004,0.9999999999999993,1.1102230246251565e-15,0.0003154345851002491,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",12,1704,0.00018394581398663819,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_16
888fc040d924f64d8ed2bec1,cnot_rank,cx,1,10,,,11,12,gate_local_2tdvp,128,1e-300,0.012332074279120975,0.987667925720879,0.9999999999999999,0.9999999999999993,5.551115123125783e-16,4.040386229207235e-05,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",12,1704,2.2965680875033052e-05,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,n_sub_128
525526a4200951b06c05da51,cnot_rank,cx,1,10,,,11,12,gate_local_2tdvp,256,1e-300,0.012346371799717537,0.9876536282002825,1.0,0.9999999999999993,6.661338147750939e-16,2.015177096956638e-05,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",12,1704,1.1481797980968918e-05,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,fine_resolution
12996615096a6e185b0a4d54,cnot_rank,cx,1,10,,,22,12,mpo_zipup,1,1e-300,0.008117350327644712,0.9918826496723553,0.9959330548146088,1.0000000000000013,-0.004066945185392523,0.00814247766272241,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",12,1704,0.013609394494934719,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
01526b7ad141d388883dc19f,cnot_rank,cx,1,10,,,22,12,tebd_swap,1,1e-300,0.20865665527136923,0.7913433447286308,0.8768061870264748,1.0000000000000013,-0.1231938129735265,0.27906767010458167,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",12,1704,0.04014864483841325,True,True,True,2df89739fab8b33530f176547eb23ed65b259bc7,true,54e7477d1624238eae90d9c40a1503a2ca6d07853944dcaf5d868d91ca9cfee9,direct
