gate,method,chi_max,n_sub,x,theta,n_states,infidelity_min,infidelity_median,infidelity_max,is_identity_angle,seeds
ryy,gate_local_2tdvp,8,1,0.25,1.5707963267948966,3,0.14780410283106338,0.17342177283097548,0.2145681236936453,False,"[11, 22, 33]"
ryy,mpo_zipup,8,1,0.0,0.0,3,0.0,0.0,2.220446049250313e-16,True,"[11, 22, 33]"
ryy,mpo_zipup,8,1,0.0001,0.0006283185307179586,3,5.8747351094901035e-08,6.028845023209328e-08,8.49672692204706e-08,False,"[11, 22, 33]"
ryy,mpo_zipup,8,1,0.000316227766,0.001986917653053424,3,5.875044766234794e-07,6.029013784880632e-07,8.496997865314881e-07,False,"[11, 22, 33]"
ryy,mpo_zipup,8,1,0.001,0.006283185307179587,3,5.8787469984222795e-06,6.029772577131887e-06,8.499977570131101e-06,False,"[11, 22, 33]"
ryy,mpo_zipup,8,1,0.00316227766,0.019869176530534244,3,5.9444168042599443e-05,6.034442583102706e-05,8.532592482879409e-05,False,"[11, 22, 33]"
ryy,mpo_zipup,8,1,0.01,0.06283185307179587,3,0.000607445101480808,0.0006763956147609607,0.0009308705984866217,False,"[11, 22, 33]"
ryy,mpo_zipup,8,1,0.1,0.6283185307179586,3,0.026424773309084104,0.039606312039721536,0.04724481567548422,False,"[11, 22, 33]"
ryy,mpo_zipup,8,1,0.25,1.5707963267948966,3,0.04533996824779318,0.08327731396043891,0.106176516643539,False,"[11, 22, 33]"
ryy,tebd_swap,8,1,0.0,0.0,3,0.01647655250273572,0.05981319124312212,0.06972273567495968,True,"[11, 22, 33]"
ryy,tebd_swap,8,1,0.0001,0.0006283185307179586,3,0.01647691214645164,0.05981523633236607,0.06972703075716147,False,"[11, 22, 33]"
ryy,tebd_swap,8,1,0.000316227766,0.001986917653053424,3,0.016478070348446616,0.059819898573025165,0.06973699364203123,False,"[11, 22, 33]"
ryy,tebd_swap,8,1,0.001,0.006283185307179587,3,0.016485149413051237,0.059836742583480484,0.06977476421219997,False,"[11, 22, 33]"
ryy,tebd_swap,8,1,0.00316227766,0.019869176530534244,3,0.016541527370061315,0.059910712574198666,0.06996609988403979,False,"[11, 22, 33]"
ryy,tebd_swap,8,1,0.01,0.06283185307179587,3,0.017049604814300512,0.060389479362825016,0.07120199238220593,False,"[11, 22, 33]"
ryy,tebd_swap,8,1,0.1,0.6283185307179586,3,0.03288587338253535,0.07950884009671066,0.09184191371454475,False,"[11, 22, 33]"
ryy,tebd_swap,8,1,0.25,1.5707963267948966,3,0.04954148163134875,0.10237640184921037,0.128101112615424,False,"[11, 22, 33]"
rzz,gate_local_2tdvp,8,1,0.0,0.0,3,0.0,0.0,2.220446049250313e-16,True,"[11, 22, 33]"
rzz,gate_local_2tdvp,8,1,0.0001,0.0006283185307179586,3,6.998623947040983e-08,7.976482119254058e-08,9.265360789711963e-08,False,"[11, 22, 33]"
