case_id,family,method,tdvp_chi,tdvp_error,tebd_recovery_chi,recovery_chi_ratio,recovery_status,tdvp_time,tebd_recovery_time,time_ratio
periodic_1d_n8_d4_s0_medium,periodic_1d,hybrid_tdvp_unpadded,32,0.03997476560198393,8.0,0.25,recovered,0.016742601001169533,0.014313722000224516,0.8549282157070248
periodic_1d_n8_d4_s0_medium,periodic_1d,hybrid_tdvp_padded4,32,1.1140138600782396e-15,nan,,not_recovered,0.02132529899245128,nan,
periodic_1d_n8_d4_s1_small,periodic_1d,hybrid_tdvp_unpadded,16,0.0037235227045260763,8.0,0.5,recovered,0.016679246007697657,0.01126043900148943,0.6751167886301703
periodic_1d_n8_d4_s1_small,periodic_1d,hybrid_tdvp_padded4,16,3.1816310395641055e-12,8.0,0.5,recovered,0.020412824989762157,0.01126043900148943,0.551635504009709
periodic_1d_n8_d4_s1_small,periodic_1d,hybrid_tdvp_unpadded,24,0.0037235227045260763,8.0,0.3333333333333333,recovered,0.016804936007247306,0.01126043900148943,0.6700673538199281
periodic_1d_n8_d4_s1_small,periodic_1d,hybrid_tdvp_padded4,24,3.1816310395641055e-12,8.0,0.3333333333333333,recovered,0.020295551992603578,0.01126043900148943,0.5548229979452215
periodic_1d_n8_d4_s1_small,periodic_1d,hybrid_tdvp_unpadded,32,0.0037235227045260763,8.0,0.25,recovered,0.01666968000063207,0.01126043900148943,0.6755042089027783
periodic_1d_n8_d4_s1_small,periodic_1d,hybrid_tdvp_padded4,32,3.1816310395641055e-12,8.0,0.25,recovered,0.020521944999927655,0.01126043900148943,0.5487023282407748
periodic_1d_n8_d4_s1_medium,periodic_1d,hybrid_tdvp_unpadded,16,0.012367349527416338,8.0,0.5,recovered,0.016694564998033457,0.014416384001378901,0.8635375646551489
periodic_1d_n8_d4_s1_medium,periodic_1d,hybrid_tdvp_padded4,16,6.740228053684851e-15,8.0,0.5,recovered,0.021222739000222646,0.014416384001378901,0.6792895111807982
periodic_1d_n8_d4_s1_medium,periodic_1d,hybrid_tdvp_unpadded,24,0.012367349527416338,8.0,0.3333333333333333,recovered,0.01668481399246957,0.014416384001378901,0.8640422367240959
periodic_1d_n8_d4_s1_medium,periodic_1d,hybrid_tdvp_padded4,24,6.740228053684851e-15,8.0,0.3333333333333333,recovered,0.02123571399715729,0.014416384001378901,0.6788744660673404
periodic_1d_n8_d4_s1_medium,periodic_1d,hybrid_tdvp_unpadded,32,0.012367349527416338,8.0,0.25,recovered,0.01667065400397405,0.014416384001378901,0.8647761508302096
periodic_1d_n8_d4_s1_medium,periodic_1d,hybrid_tdvp_padded4,32,6.740228053684851e-15,8.0,0.25,recovered,0.02122267799859401,0.014416384001378901,0.6792914637037786
periodic_1d_n8_d4_s2_small,periodic_1d,hybrid_tdvp_unpadded,16,0.00529214205351481,8.0,0.5,recovered,0.016759863996412605,0.014376723003806546,0.857806662803698
periodic_1d_n8_d4_s2_small,periodic_1d,hybrid_tdvp_padded4,16,1.1087796275636436e-12,8.0,0.5,recovered,0.020907769998302683,0.014376723003806546,0.6876258446010103
periodic_1d_n8_d4_s2_small,periodic_1d,hybrid_tdvp_unpadded,24,0.00529214205351481,8.0,0.3333333333333333,recovered,0.01675251399865374,0.014376723003806546,0.8581830168870107
