case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome
sparse_long_range_n8_d4_s0_small,sparse_long_range,8,4,0,small,32,padded4,1.890908375203531e-08,0.00013005365674189108,6877.840219407381,175320141.86877126,1.8250054567355156,0.8125,tebd_win
sparse_long_range_n8_d4_s1_small,sparse_long_range,8,4,1,small,8,unpadded,1.5902473110428832e-07,0.00010668539721588793,670.8729923644626,5622598.2873322535,2.068378956305313,1.0,tebd_win
sparse_long_range_n8_d4_s1_small,sparse_long_range,8,4,1,small,8,padded4,1.5902473110428832e-07,0.000357205075663681,2246.2234218740864,54330776.5591366,2.0799064011369888,1.0,tebd_win
sparse_long_range_n8_d4_s1_small,sparse_long_range,8,4,1,small,16,unpadded,1.5902473110428832e-07,0.00010668539721588793,670.8729923644626,5622598.2873322535,3.7772774259271356,1.0,tebd_win
sparse_long_range_n8_d4_s1_small,sparse_long_range,8,4,1,small,16,padded4,1.5902473110428832e-07,0.000357205075663681,2246.2234218740864,54330776.5591366,2.0064455484291903,1.0,tebd_win
sparse_long_range_n8_d4_s1_small,sparse_long_range,8,4,1,small,32,unpadded,1.5902473110428832e-07,0.00010668539721588793,670.8729923644626,5622598.2873322535,2.037619000818577,1.0,tebd_win
sparse_long_range_n8_d4_s1_small,sparse_long_range,8,4,1,small,32,padded4,1.5902473110428832e-07,0.000357205075663681,2246.2234218740864,54330776.5591366,2.0776944692563197,1.0,tebd_win
sparse_long_range_n10_d2_s0_small,sparse_long_range,10,2,0,small,8,unpadded,6.0134330104686516e-05,2.1249373904791947e-05,0.35336510555284123,0.5934632570479667,1.6616293693803532,1.0,tdvp_win
sparse_long_range_n10_d2_s0_small,sparse_long_range,10,2,0,small,8,padded4,6.0134330104686516e-05,6.836185161266223e-08,0.001136819043193008,0.0012921114153696645,1.6261043495153347,1.0,tdvp_win
sparse_long_range_n10_d2_s0_small,sparse_long_range,10,2,0,small,16,unpadded,2.586281960607471e-10,1.7930344430308472e-07,693.2865288244503,6728.699281589772,1.6492576330437891,0.5625,both_good
sparse_long_range_n10_d2_s0_small,sparse_long_range,10,2,0,small,16,padded4,2.586281960607471e-10,6.836185161266223e-08,264.32482093563095,7692.975871458643,1.6166444501023598,0.5,both_good
sparse_long_range_n10_d2_s0_small,sparse_long_range,10,2,0,small,32,unpadded,2.586281960607471e-10,1.7930344430308472e-07,693.2865288244503,6728.699281589772,1.510541314095622,0.5625,both_good
sparse_long_range_n10_d2_s0_small,sparse_long_range,10,2,0,small,32,padded4,2.586281960607471e-10,6.836185161266223e-08,264.32482093563095,7692.975871458643,1.5005164598474812,0.5,both_good
sparse_long_range_n10_d2_s1_small,sparse_long_range,10,2,1,small,8,unpadded,3.494984555527341e-05,4.7068559554881593e-05,1.346745852723222,798.7767956021352,1.6031738249569423,0.625,similar
sparse_long_range_n10_d2_s1_small,sparse_long_range,10,2,1,small,8,padded4,3.494984555527341e-05,4.7170714147253185e-05,1.349668743818979,802.4812056283265,1.7950055099594544,0.75,similar
sparse_long_range_n10_d2_s1_small,sparse_long_range,10,2,1,small,16,unpadded,6.5864446972577e-08,4.7068559554881593e-05,714.627719784527,6244715.396189058,1.659753115090569,0.35714285714285715,tebd_win
sparse_long_range_n10_d2_s1_small,sparse_long_range,10,2,1,small,16,padded4,6.5864446972577e-08,4.7170714147253185e-05,716.1787020984623,6273675.909879139,1.650042209485467,0.42857142857142855,tebd_win
sparse_long_range_n10_d2_s1_small,sparse_long_range,10,2,1,small,32,unpadded,6.5864446972577e-08,4.7068559554881593e-05,714.627719784527,6244715.396189058,1.6121612893938235,0.35714285714285715,tebd_win
sparse_long_range_n10_d2_s1_small,sparse_long_range,10,2,1,small,32,padded4,6.5864446972577e-08,4.7170714147253185e-05,716.1787020984623,6273675.909879139,1.6477048168271786,0.42857142857142855,tebd_win
sparse_long_range_n10_d4_s0_small,sparse_long_range,10,4,0,small,8,unpadded,0.006106820629112293,0.00014989954216422405,0.02454624939360859,0.01911512826469659,1.8264152615112783,1.0,tdvp_win
