case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome,tebd_accuracy_limited,tebd_bond_limited,tebd_hit_chi_max,tdvp_hit_chi_max
sparse_long_range_n12_d4_s1_medium,sparse_long_range,12,4,1,medium,16,padded4,0.0017723882377943523,0.0022263376196093145,1.2561229938988308,0.6649872638206982,1.6919544383625622,1.0,similar,True,True,True,True
sparse_long_range_n12_d4_s1_medium,sparse_long_range,12,4,1,medium,24,unpadded,0.0006492914847851834,0.001863594480632267,2.8701970136707287,1.4714897781382665,5.95856519822575,1.0,tebd_win,True,True,True,True
sparse_long_range_n12_d4_s1_medium,sparse_long_range,12,4,1,medium,24,padded4,0.0006492914847851834,0.0020551118381307324,3.1651606193644466,1.2307825675762496,7.7251231657535095,1.0,tebd_win,True,True,True,True
sparse_long_range_n12_d4_s1_medium,sparse_long_range,12,4,1,medium,32,unpadded,0.0015154502398707092,0.001640843917434046,1.0827435136201071,2.9053963631089235,2.315084148956307,1.0,similar,True,True,True,True
sparse_long_range_n12_d4_s1_medium,sparse_long_range,12,4,1,medium,32,padded4,0.0015154502398707092,0.0020545470928142063,1.3557337870687791,2.7795607930104174,1.0845491920082124,0.90625,similar,True,True,True,False
sparse_long_range_n12_d4_s1_medium,sparse_long_range,12,4,1,medium,48,unpadded,7.912960275841628e-06,0.0016387713693304508,207.09965830785745,3651.0759969532483,1.1600594251123586,0.8541666666666666,tebd_win,True,True,True,False
sparse_long_range_n12_d4_s1_medium,sparse_long_range,12,4,1,medium,48,padded4,7.912960275841628e-06,0.0020545470928142063,259.6432967175086,3493.07228211724,0.700606830503448,0.6041666666666666,tebd_win,True,True,True,False
sparse_long_range_n12_d4_s2_small,sparse_long_range,12,4,2,small,8,unpadded,0.01936156345994782,0.0006630540223870632,0.034245892577770685,0.028706256989988035,7.900104294212008,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s2_small,sparse_long_range,12,4,2,small,8,padded4,0.01936156345994782,0.0006950262185262696,0.03589721563364608,0.029825271096154533,1.8530964398329013,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s2_small,sparse_long_range,12,4,2,small,16,unpadded,0.0020771442406871403,0.0005354099965492336,0.2577625501694165,0.20601302847438466,1.558888424883887,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s2_small,sparse_long_range,12,4,2,small,16,padded4,0.0020771442406871403,0.0005227525118522117,0.2516688545804984,0.205913270383335,1.6025323244272158,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s2_small,sparse_long_range,12,4,2,small,24,unpadded,0.0005471574433924459,0.0005259171841672151,0.9611807177591546,4.630042542418818,2.3215090116420676,0.75,similar,True,True,True,False
sparse_long_range_n12_d4_s2_small,sparse_long_range,12,4,2,small,24,padded4,0.0005471574433924459,0.0005227525118522117,0.9553968755520889,4.630878470131387,1.4656102618140099,0.6666666666666666,similar,True,True,True,False
sparse_long_range_n12_d4_s2_small,sparse_long_range,12,4,2,small,32,unpadded,0.00015119976761308838,0.0005259171841672151,3.4782936010391716,38.881096998119574,2.144161441704522,0.5625,tebd_win,True,True,True,False
sparse_long_range_n12_d4_s2_small,sparse_long_range,12,4,2,small,32,padded4,0.00015119976761308838,0.0005227525118522117,3.45736319641645,38.88811675791186,1.8073292286135627,0.5,tebd_win,True,True,True,False
sparse_long_range_n12_d4_s2_medium,sparse_long_range,12,4,2,medium,8,unpadded,0.019963885979983834,0.003188855732132522,0.1597312134185563,0.09995100784753033,1.8773347555702053,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s2_medium,sparse_long_range,12,4,2,medium,8,padded4,0.019963885979983834,0.003216974816813885,0.1611397109780773,0.13103497967074665,1.8898583037266645,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s2_medium,sparse_long_range,12,4,2,medium,16,unpadded,0.012424635678372946,0.0027805673409641075,0.22379467800445263,0.1689817508104742,1.5559547574201624,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s2_medium,sparse_long_range,12,4,2,medium,16,padded4,0.012424635678372946,0.0020582386091749665,0.1656578641382345,0.16424274017081048,2.042835923362428,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s2_medium,sparse_long_range,12,4,2,medium,24,unpadded,0.017961624172650213,0.0007459090995634529,0.041527931571980724,0.2434035043220998,1.601074932880335,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s2_medium,sparse_long_range,12,4,2,medium,24,padded4,0.017961624172650213,0.0009390034280078869,0.05227831397550828,0.22530212565124944,1.6032162284856384,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d4_s2_medium,sparse_long_range,12,4,2,medium,32,unpadded,0.0009376972604490831,0.0007032659142634889,0.7499925017661669,5.360663894852712,3.4736576998637507,1.0,similar,True,True,True,True
sparse_long_range_n12_d4_s2_medium,sparse_long_range,12,4,2,medium,32,padded4,0.0009376972604490831,0.0008087381202648344,0.8624725211178632,4.639854588626237,1.8530312407668517,1.0,similar,True,True,True,True
sparse_long_range_n12_d4_s2_medium,sparse_long_range,12,4,2,medium,48,unpadded,2.6660725530941768e-05,0.0007382926364375091,27.692143470764336,1444.8598244489153,2.787247963422402,1.0,tebd_win,True,True,True,True
sparse_long_range_n12_d4_s2_medium,sparse_long_range,12,4,2,medium,48,padded4,2.6660725530941768e-05,0.0007970060335824795,29.894386507129912,1243.7880731223095,1.5345803266677818,1.0,tebd_win,True,True,True,True
sparse_long_range_n12_d8_s0_small,sparse_long_range,12,8,0,small,8,unpadded,0.01627341164586936,0.0021274368824448545,0.13073084665592274,0.0373075524443878,2.306183688717337,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_small,sparse_long_range,12,8,0,small,8,padded4,0.01627341164586936,0.002552860632493648,0.15687310614683764,0.03949480521856241,2.261259345662884,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_small,sparse_long_range,12,8,0,small,16,unpadded,0.015076568848318863,0.0010823020767655172,0.07178702844488392,0.0358979077615843,1.8755680870078888,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_small,sparse_long_range,12,8,0,small,16,padded4,0.015076568848318863,0.001306713140962452,0.0866717854777786,0.04432094900041221,1.7411838963438695,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_small,sparse_long_range,12,8,0,small,24,unpadded,0.015293021503702688,0.0010457488035745387,0.06838078422379423,0.07383956186304926,2.018773899886326,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_small,sparse_long_range,12,8,0,small,24,padded4,0.015293021503702688,0.0014926862818878239,0.09760571392163546,0.09459736824695944,1.7394622765793664,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_small,sparse_long_range,12,8,0,small,32,unpadded,0.0020108434640887514,0.0009616177744364002,0.478216127515512,0.8318523418356485,6.163698713521435,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_small,sparse_long_range,12,8,0,small,32,padded4,0.0020108434640887514,0.0014705387799688217,0.7313044531963218,1.0850660460659656,5.4867673453777845,1.0,similar,True,True,True,True
sparse_long_range_n12_d8_s0_small,sparse_long_range,12,8,0,small,48,unpadded,6.021564301312846e-05,0.000960369896227908,15.948843990896588,36.53914443882622,2.6735960554862714,1.0,tebd_win,True,True,True,True
sparse_long_range_n12_d8_s0_small,sparse_long_range,12,8,0,small,48,padded4,6.021564301312846e-05,0.0014677439335993774,24.37479465725167,47.69882281920571,2.6643519079876876,1.0,tebd_win,True,True,True,True
sparse_long_range_n12_d8_s0_medium,sparse_long_range,12,8,0,medium,8,unpadded,0.024322774417705126,0.007036708258856289,0.2893053291541487,0.14242088848826664,1.5726162022059353,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_medium,sparse_long_range,12,8,0,medium,8,padded4,0.024322774417705126,0.008159365263399236,0.33546194703264776,0.13762171164301323,1.574342456425242,1.0,tdvp_win,True,True,True,True
sparse_long_range_n12_d8_s0_medium,sparse_long_range,12,8,0,medium,16,unpadded,0.017941744051952927,0.005521119288967628,0.3077247826621774,0.15015671062888555,2.101692779958627,1.0,tdvp_win,True,True,True,True
