case_id,family,chi_max,unpadded_error,padded4_error,error_ratio,classification
periodic_1d_n16_d8_s2_small,periodic_1d,64,0.014961721595679107,6.036260417681816e-13,4.034469147872038e-11,padding_required
periodic_1d_n16_d8_s2_medium,periodic_1d,8,0.0033757029041101357,8.920775541136571e-15,2.642642375392382e-12,padding_required
periodic_1d_n16_d8_s2_medium,periodic_1d,16,0.0033757029041101357,8.920775541136571e-15,2.642642375392382e-12,padding_required
periodic_1d_n16_d8_s2_medium,periodic_1d,24,0.0033757029041101357,8.920775541136571e-15,2.642642375392382e-12,padding_required
periodic_1d_n16_d8_s2_medium,periodic_1d,32,0.0033757029041101357,8.920775541136571e-15,2.642642375392382e-12,padding_required
periodic_1d_n16_d8_s2_medium,periodic_1d,48,0.0033757029041101357,8.920775541136571e-15,2.642642375392382e-12,padding_required
periodic_1d_n16_d8_s2_medium,periodic_1d,64,0.0033757029041101357,8.920775541136571e-15,2.642642375392382e-12,padding_required
sparse_long_range_n8_d2_s0_small,sparse_long_range,8,0.00011286410635443158,0.0001145479998020164,1.0149196542813783,padding_neutral
sparse_long_range_n8_d2_s0_small,sparse_long_range,16,0.00011286410635443158,0.0001145479998020164,1.0149196542813783,padding_neutral
sparse_long_range_n8_d2_s0_small,sparse_long_range,32,0.00011286410635443158,0.0001145479998020164,1.0149196542813783,padding_neutral
sparse_long_range_n8_d2_s1_small,sparse_long_range,8,9.838317087618784e-06,0.00012477432197689078,12.682486330300879,padding_harmful
sparse_long_range_n8_d2_s1_small,sparse_long_range,16,9.838317087618784e-06,0.00012477432197689078,12.682486330300879,padding_harmful
sparse_long_range_n8_d2_s1_small,sparse_long_range,32,9.838317087618784e-06,0.00012477432197689078,12.682486330300879,padding_harmful
sparse_long_range_n8_d4_s0_small,sparse_long_range,8,0.0006851145392847757,0.0006811810277518185,0.9942586074190404,padding_neutral
sparse_long_range_n8_d4_s0_small,sparse_long_range,16,0.0006647753857269202,0.0006647658372667752,0.9999856365618374,padding_neutral
sparse_long_range_n8_d4_s0_small,sparse_long_range,32,0.0006647753857269202,0.0006647658372667752,0.9999856365618374,padding_neutral
sparse_long_range_n8_d4_s1_small,sparse_long_range,8,0.00037103418233375694,0.0003435730941267325,0.9259877134923318,padding_neutral
sparse_long_range_n8_d4_s1_small,sparse_long_range,16,0.00038375950401045334,0.00040724233487332155,1.0611915291151424,padding_neutral
sparse_long_range_n8_d4_s1_small,sparse_long_range,32,0.00038375950401045334,0.00040724233487332155,1.0611915291151424,padding_neutral
sparse_long_range_n10_d2_s0_small,sparse_long_range,8,2.1249373904791947e-05,6.836185161266223e-08,0.0032171230982596596,padding_required
sparse_long_range_n10_d2_s0_small,sparse_long_range,16,1.7930344430308472e-07,6.836185161266223e-08,0.38126346026631314,padding_helpful
sparse_long_range_n10_d2_s0_small,sparse_long_range,32,1.7930344430308472e-07,6.836185161266223e-08,0.38126346026631314,padding_helpful
sparse_long_range_n10_d2_s1_small,sparse_long_range,8,4.7068559554881593e-05,4.7170714147253185e-05,1.002170336065893,padding_neutral
sparse_long_range_n10_d2_s1_small,sparse_long_range,16,4.7068559554881593e-05,4.7170714147253185e-05,1.002170336065893,padding_neutral
sparse_long_range_n10_d2_s1_small,sparse_long_range,32,4.7068559554881593e-05,4.7170714147253185e-05,1.002170336065893,padding_neutral
sparse_long_range_n10_d4_s0_small,sparse_long_range,8,0.00014989954216422405,0.00044660444658309713,2.979358309806009,padding_harmful
sparse_long_range_n10_d4_s0_small,sparse_long_range,16,6.636131852526874e-05,0.00044660444658309713,6.72989109481062,padding_harmful
sparse_long_range_n10_d4_s0_small,sparse_long_range,32,6.636131852526874e-05,0.00044660444658309713,6.72989109481062,padding_harmful
sparse_long_range_n10_d4_s1_small,sparse_long_range,8,0.00045105576815688246,0.0004518916902841611,1.001853256706359,padding_neutral
sparse_long_range_n10_d4_s1_small,sparse_long_range,16,0.00045105576815688246,0.0004518916902841611,1.001853256706359,padding_neutral
sparse_long_range_n10_d4_s1_small,sparse_long_range,32,0.00045105576815688246,0.0004518916902841611,1.001853256706359,padding_neutral
sparse_long_range_n8_d4_s0_small,sparse_long_range,24,0.0006647753857269202,0.0006647658372667752,0.9999856365618374,padding_neutral
sparse_long_range_n8_d4_s0_small,sparse_long_range,48,0.0006647753857269202,0.0006647658372667752,0.9999856365618374,padding_neutral
sparse_long_range_n8_d4_s0_small,sparse_long_range,64,0.0006647753857269202,0.0006647658372667752,0.9999856365618374,padding_neutral
sparse_long_range_n8_d4_s0_medium,sparse_long_range,8,0.0017874021324346485,0.0017874021324397811,1.0000000000028715,padding_neutral
sparse_long_range_n8_d4_s0_medium,sparse_long_range,16,0.0016374239829363478,0.0016374239829406421,1.0000000000026226,padding_neutral
sparse_long_range_n8_d4_s0_medium,sparse_long_range,24,0.0016374239829363478,0.0016374239829406421,1.0000000000026226,padding_neutral
sparse_long_range_n8_d4_s0_medium,sparse_long_range,32,0.0016374239829363478,0.0016374239829406421,1.0000000000026226,padding_neutral
sparse_long_range_n8_d4_s0_medium,sparse_long_range,48,0.0016374239829363478,0.0016374239829406421,1.0000000000026226,padding_neutral
sparse_long_range_n8_d4_s0_medium,sparse_long_range,64,0.0016374239829363478,0.0016374239829406421,1.0000000000026226,padding_neutral
sparse_long_range_n8_d4_s1_small,sparse_long_range,24,0.00038375950401045334,0.00040724233487332155,1.0611915291151424,padding_neutral
sparse_long_range_n8_d4_s1_small,sparse_long_range,48,0.00038375950401045334,0.00040724233487332155,1.0611915291151424,padding_neutral
sparse_long_range_n8_d4_s1_small,sparse_long_range,64,0.00038375950401045334,0.00040724233487332155,1.0611915291151424,padding_neutral
sparse_long_range_n8_d4_s1_medium,sparse_long_range,8,0.0014819164607836003,0.0014819164607619082,0.9999999999853622,padding_neutral
sparse_long_range_n8_d4_s1_medium,sparse_long_range,16,0.001457326656184529,0.001457326656164531,0.9999999999862776,padding_neutral
sparse_long_range_n8_d4_s1_medium,sparse_long_range,24,0.001457326656184529,0.001457326656164531,0.9999999999862776,padding_neutral
sparse_long_range_n8_d4_s1_medium,sparse_long_range,32,0.001457326656184529,0.001457326656164531,0.9999999999862776,padding_neutral
sparse_long_range_n8_d4_s1_medium,sparse_long_range,48,0.001457326656184529,0.001457326656164531,0.9999999999862776,padding_neutral
sparse_long_range_n8_d4_s1_medium,sparse_long_range,64,0.001457326656184529,0.001457326656164531,0.9999999999862776,padding_neutral
sparse_long_range_n8_d4_s2_small,sparse_long_range,8,2.586054276796644e-05,8.337674849264602e-06,0.32240912049195325,padding_helpful
sparse_long_range_n8_d4_s2_small,sparse_long_range,16,2.2497080059432603e-05,3.3233023866493333e-06,0.1477214988731809,padding_helpful
sparse_long_range_n8_d4_s2_small,sparse_long_range,24,2.2497080059432603e-05,3.3233023866493333e-06,0.1477214988731809,padding_helpful
sparse_long_range_n8_d4_s2_small,sparse_long_range,32,2.2497080059432603e-05,3.3233023866493333e-06,0.1477214988731809,padding_helpful
sparse_long_range_n8_d4_s2_small,sparse_long_range,48,2.2497080059432603e-05,3.3233023866493333e-06,0.1477214988731809,padding_helpful
sparse_long_range_n8_d4_s2_small,sparse_long_range,64,2.2497080059432603e-05,3.3233023866493333e-06,0.1477214988731809,padding_helpful
sparse_long_range_n8_d4_s2_medium,sparse_long_range,8,0.0036259508068420938,0.003367566716488758,0.9287403210584737,padding_neutral
sparse_long_range_n8_d4_s2_medium,sparse_long_range,16,0.0021288109617098316,0.001868124072377046,0.8775434296320019,padding_neutral
sparse_long_range_n8_d4_s2_medium,sparse_long_range,24,0.0021288109617098316,0.001868124072377046,0.8775434296320019,padding_neutral
sparse_long_range_n8_d4_s2_medium,sparse_long_range,32,0.0021288109617098316,0.001868124072377046,0.8775434296320019,padding_neutral
sparse_long_range_n8_d4_s2_medium,sparse_long_range,48,0.0021288109617098316,0.001868124072377046,0.8775434296320019,padding_neutral
sparse_long_range_n8_d4_s2_medium,sparse_long_range,64,0.0021288109617098316,0.001868124072377046,0.8775434296320019,padding_neutral
sparse_long_range_n8_d8_s0_small,sparse_long_range,8,0.0006701876098236444,0.0009418766919694802,1.4053925768895206,padding_harmful
sparse_long_range_n8_d8_s0_small,sparse_long_range,16,0.0006267663638216984,0.0008046957465448064,1.2838847024881588,padding_neutral
sparse_long_range_n8_d8_s0_small,sparse_long_range,24,0.0006267663638216984,0.0008046957465448064,1.2838847024881588,padding_neutral
sparse_long_range_n8_d8_s0_small,sparse_long_range,32,0.0006267663638216984,0.0008046957465448064,1.2838847024881588,padding_neutral
sparse_long_range_n8_d8_s0_small,sparse_long_range,48,0.0006267663638216984,0.0008046957465448064,1.2838847024881588,padding_neutral
sparse_long_range_n8_d8_s0_small,sparse_long_range,64,0.0006267663638216984,0.0008046957465448064,1.2838847024881588,padding_neutral
sparse_long_range_n8_d8_s0_medium,sparse_long_range,8,0.003394578249066442,0.003394578249062292,0.9999999999987775,padding_neutral
sparse_long_range_n8_d8_s0_medium,sparse_long_range,16,0.002849077865399148,0.002849077865395635,0.999999999998767,padding_neutral
sparse_long_range_n8_d8_s0_medium,sparse_long_range,24,0.002849077865399148,0.002849077865395635,0.999999999998767,padding_neutral
sparse_long_range_n8_d8_s0_medium,sparse_long_range,32,0.002849077865399148,0.002849077865395635,0.999999999998767,padding_neutral
