case_id,family,method,chi_max,J_over_pi,seed,lattice_shape,depth_or_cycles,patch_shape,patch_sites,ipr2_z,s2_z,ipr2_z_error,s2_z_error,reference_type,mean_abs_z_parity_error,max_abs_z_parity_error,num_z_parity_terms
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,tebd_swap,64,0.005,1,3x4,2,1x2,"[5, 4]",0.9795823866983111,0.020628934161408187,1.9697074171709517e-07,2.0107621838405532e-07,exact_statevector,9.998606831878637e-08,2.007298866013585e-07,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,64,0.005,1,3x4,2,1x1,[5],0.9834615045509258,0.016676783199260598,4.533847701493343e-05,4.6099854203316554e-05,exact_statevector,0.0017788439530690627,0.0038853642262092203,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,64,0.005,1,3x4,2,2x2,"[4, 5, 10, 11]",0.9781070950342184,0.02213611081749102,0.003608425176593766,0.00369601416652577,exact_statevector,0.0017788439530690627,0.0038853642262092203,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_unpadded,64,0.005,1,3x4,2,1x2,"[5, 4]",0.9833584628721471,0.016781563179716057,0.003775879203094301,0.0038471699054737456,exact_statevector,0.0017788439530690627,0.0038853642262092203,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,64,0.005,1,3x4,2,1x1,[5],0.9834615045509258,0.016676783199260598,4.533847701493343e-05,4.6099854203316554e-05,exact_statevector,0.0017788439530690627,0.0038853642262092203,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,64,0.005,1,3x4,2,2x2,"[4, 5, 10, 11]",0.9781070950342184,0.02213611081749102,0.003608425176593766,0.00369601416652577,exact_statevector,0.0017788439530690627,0.0038853642262092203,22
heisenberg_floquet_2d_3x4_c2_J0.005_s1,heisenberg_floquet_2d,hybrid_tdvp_padded4,64,0.005,1,3x4,2,1x2,"[5, 4]",0.9833584628721471,0.016781563179716057,0.003775879203094301,0.0038471699054737456,exact_statevector,0.0017788439530690627,0.0038853642262092203,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,tebd_swap,16,0.01,0,3x4,2,1x1,[5],0.917463186856967,0.08614282317503069,0.024518518531111755,0.026373397548902527,exact_statevector,0.007512960485160192,0.017033000326732717,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,tebd_swap,16,0.01,0,3x4,2,2x2,"[4, 5, 10, 11]",0.9110250078471718,0.09318493111412929,0.013212500519064418,0.014398734430010829,exact_statevector,0.007512960485160192,0.017033000326732717,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,tebd_swap,16,0.01,0,3x4,2,1x2,"[5, 4]",0.9167855581092483,0.08688168564437222,0.013079453519213913,0.014165833487832485,exact_statevector,0.007512960485160192,0.017033000326732717,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,16,0.01,0,3x4,2,1x1,[5],0.9477219394444637,0.05369413257403011,0.0057402340563849075,0.0060752930520980575,exact_statevector,0.005629019714213782,0.010214926023074167,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,16,0.01,0,3x4,2,2x2,"[4, 5, 10, 11]",0.929288897384277,0.07333561177927235,0.005051389018040808,0.005450584904846109,exact_statevector,0.005629019714213782,0.010214926023074167,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_unpadded,16,0.01,0,3x4,2,1x2,"[5, 4]",0.9383973036448663,0.06358185500072248,0.008532292016404042,0.009133997155817253,exact_statevector,0.005629019714213782,0.010214926023074167,22
heisenberg_floquet_2d_3x4_c2_J0.01_s0,heisenberg_floquet_2d,hybrid_tdvp_padded4,16,0.01,0,3x4,2,1x1,[5],0.9477219394444637,0.05369413257403011,0.0057402340563849075,0.0060752930520980575,exact_statevector,0.005629019714213782,0.010214926023074167,22
