model,method,chi_max,trotter_step,time,infidelity,fidelity,state_norm,norm_drift,phase_aligned_distance,current_max_bond,peak_max_bond,param_count,memory_bytes,peak_param_count,peak_memory_bytes,step_runtime_s,cumulative_runtime_s,discarded_weight_step,compression_residual_step,tdvp_substeps,variational_init,variational_converged,variational_sweeps,failed,failure_message
ising,mpo_zipup,24,6,0.6000000000000001,5.681394052969857e-05,0.9999431860594703,0.9999893071535898,1.069284641019852e-05,0.007537555804725189,24,24,9128,146048,9128,146048,1.5126315426896326,4.217765239416622,4.1784351676595226e-05,0.0,2,,,,0,
ising,mpo_zipup,24,7,0.7000000000000001,0.0001581647654352869,0.9998418352345647,0.9999751050197381,2.4894980261924715e-05,0.012576606058505373,24,24,9128,146048,9128,146048,0.9553662768448703,5.173131516261492,9.204469103101828e-05,0.0,2,,,,0,
ising,mpo_zipup,24,8,0.8,0.0003405267338573159,0.9996594732661427,0.9999483625486503,5.1637451349728636e-05,0.018454152064199165,24,24,9128,146048,9128,146048,1.124475916789379,6.297607433050871,0.0001897273462123801,0.0,2,,,,0,
ising,mpo_zipup,24,9,0.9,0.0006893568834518415,0.9993106431165482,0.9998981282096377,0.00010187179036225125,0.026257869823091983,24,24,9128,146048,9128,146048,1.4010325589915738,7.698639992042445,0.00039053686607116143,0.0,2,,,,0,
ising,mpo_zipup,24,10,1.0,0.001551306313339551,0.9984486936866604,0.999794668130476,0.00020533186952398363,0.039394268850642455,24,24,9128,146048,9128,146048,1.184880451997742,8.883520444040187,0.0007537489835952767,0.0,2,,,,0,
ising,mpo_zipup,24,11,1.1,0.0034307930362429406,0.9965692069637571,0.9995986665272303,0.000401333472769716,0.05859812863912067,24,24,9128,146048,9128,146048,1.1885063351946883,10.072026779234875,0.0012891926030362652,0.0,2,,,,0,
ising,mpo_zipup,24,12,1.2000000000000002,0.006536134449468101,0.9934638655505319,0.9992973721319087,0.0007026278680912768,0.08091260569228119,24,24,9128,146048,9128,146048,1.2023040712811053,11.27433085051598,0.0018314976111922106,0.0,2,,,,0,
ising,mpo_zipup,24,13,1.3,0.010517641389087284,0.9894823586109127,0.9989147236622716,0.0010852763377283692,0.10269100730348922,24,24,9128,146048,9128,146048,1.210948317835573,12.485279168351553,0.0021810139131609035,0.0,2,,,,0,
ising,hybrid_tdvp,32,0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,32,512,0,0,0.0,0.0,0.0,0.0,2,,,,0,
ising,hybrid_tdvp,32,1,0.1,1.950831794639285e-05,0.9999804916820536,1.0000000000000253,2.531308496145357e-14,0.0044168329253232285,7,7,264,4224,264,4224,0.20004977413918823,0.20004977413918823,1.7264563646089748e-18,0.0,2,,,,0,
ising,hybrid_tdvp,32,2,0.2,0.0002951599765399493,0.99970484002346,0.9999999999992146,7.853717676198357e-13,0.01718085444940196,13,13,1488,23808,1488,23808,0.6036284218425862,0.8036781959817745,1.6495566627329093e-12,0.0,2,,,,0,
