J,entropy_mean,entropy_std,modes_mean,modes_std,entropy_old_raw_xyz_mean,modes_old_raw_xyz_mean,entropy_old_centered_xyz_mean,modes_old_centered_xyz_mean,resolved_rank_mean,resolved_rank_std,rank_tol,spectrum_discarded_weight_threshold,cut,m_spectrum,basis,orientation,weight_scope,centered,probability_power,raw_file,raw_sha256
1.15,0.010449840156163218,0.0,1.010504630419327,0.0,0.02290084553829618,1.0231650831343202,0.060311797603304136,1.0621676762557155,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p15.npz,138ae77f1b80ae68027a612f06a066fbf1b7532555f1124bf63686fd5713f57a
1.2,0.010249440914102551,0.0,1.0103021463467972,0.0,0.02303886745989479,1.0233063120913288,0.07296416932625963,1.075691993455326,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p2.npz,5e72c965a06e2d40db2e7ca4434cbde2a9644a0785cb102fcc9e02368d3e22e9
1.25,0.009801537359430706,0.0,1.0098497297512201,0.0,0.022006105263508952,1.0222500255571645,0.06246349748882927,1.064455602906157,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p25.npz,f1a1a2bc4f91032ea1aa1d02662ccddba66fe69df48129e433cdf1860a3fbfd6
1.3,0.011550928161820526,0.0,1.011617897737712,0.0,0.026463698943323597,1.026816972044023,0.0898040011327777,1.093959847800344,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p3.npz,0d4a67ecd7dd43c1a54b039ec21ad4f8a3654f13c3fee51cd885edffe57c2cef
1.35,0.018558962361548068,0.0,1.0187322502580283,0.0,0.043155111951544735,1.044099834653849,0.13060837002620315,1.1395214231689847,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p35.npz,4541562a4f769b512fdb36f7d4e78fa0ded007994be47594196581cfe2707150
1.4,0.02032845756441927,0.0,1.0205364879120342,0.0,0.04487962163358748,1.0459019483623844,0.11603342872112014,1.1230334130765527,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p4.npz,68ae6b26d846db6c40f2b8236aff5734fedcbc6ec0dfda21f15d7daf60d5d258
1.45,0.019606412257864074,0.0,1.0197998802948078,0.0,0.044730444474284106,1.0457459353178984,0.1532505582966077,1.1656169973667478,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p45.npz,281a5603cf5cd7e794866ee93a2e171cb0e519c91035f3f91e514d5c9e375157
1.5,0.017176500085273647,0.0,1.017324864405497,0.0,0.03745044397595477,1.0381605486979328,0.1517856707938394,1.1639107496299033,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p5.npz,a52d3ce302074dd727f509741c77ca19802d669db6253e1f90a0241ed5a2ada1
1.55,0.025298881690828907,0.0,1.0256216142416823,0.0,0.056653643262752004,1.0582892013155702,0.14898235327765869,1.1606525073158356,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p55.npz,e943dd44e61aa0ce06d9df32f181d888a1298718b475b3cd2079259891244928
1.6,0.027518437691725243,0.0,1.0279005670463166,0.0,0.05831491187168839,1.0600487650942554,0.1977013315612929,1.2185983825886766,64.0,0.0,1e-16,1e-12,5,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_05_J_1p6.npz,8d08c83a9ad1a9c9d8c7eac14b4b6bd9e96bc5a4aa341489d1979eee719ae17d
