chi_max,x_fraction,runtime_hybrid_tdvp,runtime_tebd_swap,runtime_mpo_zipup,runtime_variational_mpo,fastest,tdvp_vs_zipup,tdvp_vs_tebd,tdvp_vs_variational
12,0.5,0.09151935897534713,0.004169028019532561,0.004007205017842352,0.36080461100209504,mpo_zipup,22.838701431010136,21.952205297389305,0.2536535182329355
12,0.6812920690579608,0.10523207299411297,0.0032250540098175406,0.0048222680343315005,3.0932375520351343,tebd_swap,21.82211196991273,32.629553698564735,0.03402004250364723
12,1.0,0.11554161499952897,0.007874437025748193,0.005533591960556805,0.0301453800057061,mpo_zipup,20.88003882886639,14.67300006612863,3.832813352416143
16,0.0001,0.03752935800002888,0.004025614005513489,0.0059254749794490635,2.0871769890072756,tebd_swap,6.333561128886628,9.322641949433947,0.017980917860674083
16,0.0001467799267622069,0.029912301048170775,0.007077365997247398,0.008215674024540931,1.8577112259808928,tebd_swap,3.6408821672841616,4.226473671109361,0.01610169580171253
16,0.00021544346900318845,0.06309492699801922,0.006770533975213766,0.00425977201666683,0.7573047639452852,mpo_zipup,14.811808413960497,9.319047394046512,0.08331510641675798
16,0.00031622776601683794,0.020893339009489864,0.005360108974855393,0.017692135006655008,0.6758807139704004,tebd_swap,1.1809393836091973,3.8979317598768657,0.03091276105032473
16,0.00046415888336127773,0.07980228500673547,0.006616407015826553,0.004472471948247403,0.5385014280327596,mpo_zipup,17.8429928527572,12.061272049293084,0.14819326533314361
16,0.0006812920690579609,0.023599544016178697,0.008377053018193692,0.00909987703198567,0.5162913700332865,tebd_swap,2.5933915297126906,2.8171654118607172,0.045709739472610554
16,0.001,0.020664305018726736,0.003504631982650608,0.004727307998109609,0.5454952960135415,tebd_swap,4.371262677826394,5.896283866900627,0.03788172908133338
16,0.0014677992676220691,0.025042961991857737,0.003317529975902289,0.008016074018087238,0.4713563770055771,tebd_swap,3.1240931577417475,7.548676929451601,0.053129570773922996
16,0.002154434690031882,0.04587069101398811,0.006651912000961602,0.008788144972641021,0.5555764859891497,tebd_swap,5.219610185857347,6.895865580806997,0.08256413323958414
16,0.0031622776601683794,0.04668330796994269,0.0075924109551124275,0.010014144005253911,0.39200067601632327,tebd_swap,4.66173723340211,6.148680339610438,0.11908986597767691
16,0.004641588833612777,0.03799470001831651,0.006665168039035052,0.0044839169713668525,0.4684843529830687,mpo_zipup,8.4735511966303,5.700486438721083,0.08110132126374274
16,0.006812920690579608,0.020742353983223438,0.006600363994948566,0.004336122015956789,0.5439185249852017,mpo_zipup,4.783618612873956,3.1426075893841783,0.0381350386692341
16,0.01,0.02112436096649617,0.0034085160004906356,0.009227521950379014,1.2703203369746916,tebd_swap,2.289277780111756,6.197524366456089,0.01662916065470896
16,0.01467799267622069,0.11626809398876503,0.0034529389813542366,0.004296187020372599,0.9889600949827582,tebd_swap,27.06308953437538,33.672212169577605,0.1175660115899743
16,0.021544346900318822,0.01986713003134355,0.0046064030029810965,0.0077980729984119534,1.4018621410359628,tebd_swap,2.547697365155393,4.312937886347822,0.014171957034706657
16,0.03162277660168379,0.047090975975152105,0.003661413968075067,0.009003785962704569,1.1679733260534704,tebd_swap,5.230130543996945,12.861418125825711,0.04031853718292558
16,0.046415888336127774,0.05275799799710512,0.003417789004743099,0.004471671010833234,1.575385803997051,tebd_swap,11.798273591525778,15.436294611483987,0.03348893830530155
16,0.06812920690579609,0.027212872984819114,0.00614605302689597,0.008564151008613408,1.1272259820252657,tebd_swap,3.177533062816119,4.427699023378395,0.024141452928476914
16,0.1,0.07783048303099349,0.009543979016598314,0.005391290003899485,1.3849403630010784,mpo_zipup,14.436337680721907,8.154930233567718,0.056197714436121815
16,0.1467799267622069,0.07732690597185865,0.0063845799886621535,0.009566391003318131,1.4376441489439458,tebd_swap,8.08318476058919,12.11151024956647,0.053787236590265325
16,0.21544346900318823,0.05117728200275451,0.006306657975073904,0.0045502729481086135,1.0931093519902788,mpo_zipup,11.247079589813856,8.114802198727892,0.04681808083479798
16,0.25,0.06195164500968531,0.011712017992977053,0.014472406008280814,1.3672016529599205,tebd_swap,4.280673508899477,5.289579050069231,0.04531273413513158
16,0.31622776601683794,0.05576171702705324,0.0034057750017382205,0.0049175050226040184,1.4211528610321693,tebd_swap,11.33943265349735,16.372695494738753,0.0392369593419768
16,0.46415888336127775,0.029577656008768827,0.0035618020338006318,0.007269592024385929,2.5857484600273892,tebd_swap,4.068681696242408,8.304126879619949,0.011438721308744598
16,0.5,0.061733576003462076,0.003798577992711216,0.00565207697218284,0.33002359501551837,tebd_swap,10.922281544870838,16.25175950629884,0.18705806777409126
16,0.6812920690579608,0.14932280097855255,0.010038416017778218,0.01060335396323353,0.9191947430372238,tebd_swap,14.082600797475974,14.87513574991305,0.16244958112484065
16,1.0,0.35062187298899516,0.00317222997546196,0.0065560509683564305,0.04595268203411251,tebd_swap,53.48065087982291,110.5285164383252,7.63006330574382
