task_type,method,chi_max,theta,x_fraction,special_angle,substeps,infidelity,fidelity,max_bond,param_count,runtime_s,peak_memory_mb,norm_before,norm_after,discarded_weight,variational_converged,variational_failed,failure_message
chi_scan,hybrid_tdvp,16,1.8849555921538759,0.3,0,64,8.075917712346836e-11,0.9999999999192408,16,2728,0.833545294997748,259.43359375,0.9999999999999996,1.0000000000000353,8.528966031616107e-14,,,
chi_scan,mpo_zipup,16,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.0033096789848059416,259.43359375,0.9999999999999996,1.000000000000001,2.362418849462314e-31,,,
chi_scan,tebd_swap,16,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.00805915700038895,259.43359375,0.9999999999999996,1.0000000000000013,1.6406027247546618e-30,,,
chi_scan,variational_mpo,16,1.8849555921538759,0.3,0,64,0.0,1.0000000000000018,16,2728,0.016508807020727545,259.43359375,0.9999999999999996,1.000000000000001,0.0,1,0,
chi_scan,hybrid_tdvp,24,0.006283185307179587,0.001,0,64,2.229595841285459e-09,0.9999999977704042,16,2376,0.6504589209798723,259.43359375,0.9999999999999996,0.9999999999914526,3.4820080319844884e-11,,,
chi_scan,mpo_zipup,24,0.006283185307179587,0.001,0,64,0.0,1.0000000000000036,16,2728,0.006328797957394272,259.58984375,0.9999999999999996,1.0000000000000022,2.3723037474384163e-31,,,
chi_scan,tebd_swap,24,0.006283185307179587,0.001,0,64,0.0,1.0000000000000062,16,2728,0.00495080795371905,259.58984375,0.9999999999999996,1.0000000000000033,1.685581168132305e-30,,,
chi_scan,variational_mpo,24,0.006283185307179587,0.001,0,64,0.0,1.0000000000000036,16,2728,0.06773388100555167,259.58984375,0.9999999999999996,1.0000000000000022,0.0,1,0,
chi_scan,hybrid_tdvp,24,0.06283185307179587,0.01,0,64,2.5320656682481513e-10,0.9999999997467934,16,2680,0.8768688890268095,259.58984375,0.9999999999999996,0.9999999999991411,3.936209339413436e-12,,,
chi_scan,mpo_zipup,24,0.06283185307179587,0.01,0,64,0.0,1.0000000000000009,16,2728,0.004582089022733271,259.58984375,0.9999999999999996,1.0000000000000009,2.3623946440532253e-31,,,
chi_scan,tebd_swap,24,0.06283185307179587,0.01,0,64,0.0,1.0000000000000022,16,2728,0.005093106999993324,259.58984375,0.9999999999999996,1.0000000000000016,1.678894052048886e-30,,,
chi_scan,variational_mpo,24,0.06283185307179587,0.01,0,64,0.0,1.0000000000000009,16,2728,0.06841013702796772,259.58984375,0.9999999999999996,1.0000000000000009,0.0,1,0,
chi_scan,hybrid_tdvp,24,0.6283185307179586,0.1,0,64,8.909317728011956e-12,0.9999999999910907,16,2728,0.7225125480326824,259.58984375,0.9999999999999996,1.0000000000000275,9.457544065903174e-15,,,
