section,circuit,target_label,target_gate,sites,theta,theta_relative_to_original,method,tdvp_config,fidelity_error,phase_aligned_l2_error,state_delta_norm,tebd_error,enrichment_error,dense_exact_error,max_bond_before,max_bond_after,wall_time_s,window_size,tdvp_sweeps,tdvp_circuit_full_sweep,tdvp_error,estimated_order_p,error_at_original_theta,error_at_smallest_theta,monotonic_decrease,m,theta_per_substep
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.00625,0.03125,2tdvp,local_many_sweeps,1.3962273337497777e-07,0.00038481179353497415,0.00038481179353498055,9.177103521551544e-13,1.4206413823103503e-12,9.166001291305292e-13,15,15,0.2926566999813076,1,8,True,1.3962273337497777e-07,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.00625,0.03125,2tdvp,full_chain_many_sweeps,1.3962271783185543e-07,0.000384811793536164,0.0003848117935361642,9.177103521551544e-13,1.4206413823103503e-12,9.166001291305292e-13,15,15,0.3147752000077162,full,8,True,1.3962271783185543e-07,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.003125,0.015625,tebd,,9.15045816896054e-13,9.606237711469565e-07,9.606237711451627e-07,9.15045816896054e-13,1.0449419107771973e-12,9.170442183403793e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.003125,0.015625,enrichment,,1.0449419107771973e-12,1.0255201673501242e-06,1.0255201673506148e-06,9.15045816896054e-13,1.0449419107771973e-12,9.170442183403793e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.003125,0.015625,dense_exact,,9.170442183403793e-13,9.60623771131726e-07,9.606237711312589e-07,9.15045816896054e-13,1.0449419107771973e-12,9.170442183403793e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.003125,0.015625,2tdvp,current_local,1.4451505741974735e-05,0.0038015135972404236,0.0038015135972406452,9.15045816896054e-13,1.0449419107771973e-12,9.170442183403793e-13,15,15,0.008549499994842336,1,1,False,1.4451505741974735e-05,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.003125,0.015625,2tdvp,local_full_sweep,1.5554897943026447e-06,0.0012642410041320536,0.0012642410041320573,9.15045816896054e-13,1.0449419107771973e-12,9.170442183403793e-13,15,15,0.011842899984912947,1,1,True,1.5554897943026447e-06,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.003125,0.015625,2tdvp,local_many_sweeps,3.479568599917826e-08,0.0001921198648167375,0.00019211986481674042,9.15045816896054e-13,1.0449419107771973e-12,9.170442183403793e-13,15,15,0.08550660000764765,1,8,True,3.479568599917826e-08,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.003125,0.015625,2tdvp,full_chain_many_sweeps,3.4795691550293384e-08,0.00019211986481737725,0.00019211986481738194,9.15045816896054e-13,1.0449419107771973e-12,9.170442183403793e-13,15,15,0.21416460000909865,full,8,True,3.4795691550293384e-08,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0015625,0.0078125,tebd,,9.181544413650045e-13,9.606237711488136e-07,9.606237711502513e-07,9.181544413650045e-13,9.487965968446588e-13,9.170442183403793e-13,15,16,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0015625,0.0078125,enrichment,,9.487965968446588e-13,9.769107135923313e-07,9.76910713591201e-07,9.181544413650045e-13,9.487965968446588e-13,9.170442183403793e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0015625,0.0078125,dense_exact,,9.170442183403793e-13,9.606237711457787e-07,9.606237711472286e-07,9.181544413650045e-13,9.487965968446588e-13,9.170442183403793e-13,15,15,0.0,,,,,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0015625,0.0078125,2tdvp,current_local,3.6788451283076284e-06,0.0019180315692033268,0.0019180315692033537,9.181544413650045e-13,9.487965968446588e-13,9.170442183403793e-13,15,15,0.01221129999612458,1,1,False,3.6788451283076284e-06,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0015625,0.0078125,2tdvp,local_full_sweep,3.8878197994307584e-07,0.000632048944816217,0.0006320489448162184,9.181544413650045e-13,9.487965968446588e-13,9.170442183403793e-13,15,15,0.023285300005227327,1,1,True,3.8878197994307584e-07,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0015625,0.0078125,2tdvp,local_many_sweeps,8.685763663862645e-09,9.599146116158346e-05,9.599146116158752e-05,9.181544413650045e-13,9.487965968446588e-13,9.170442183403793e-13,15,15,0.11503139999695122,1,8,True,8.685763663862645e-09,,,,,,
angle_sweep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.0015625,0.0078125,2tdvp,full_chain_many_sweeps,8.685771657468422e-09,9.599146116167579e-05,9.599146116168016e-05,9.181544413650045e-13,9.487965968446588e-13,9.170442183403793e-13,15,15,0.20122670001001097,full,8,True,8.685771657468422e-09,,,,,,
scaling_summary,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,,,,,,current_local,,,,,,,,,,,,,,1.6539359713053814,0.009648514321641377,3.6788451283076284e-06,True,,
scaling_summary,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,,,,,,local_full_sweep,,,,,,,,,,,,,,2.004730705520417,0.006540814143136453,3.8878197994307584e-07,True,,
scaling_summary,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,,,,,,local_many_sweeps,,,,,,,,,,,,,,2.032095498037779,0.00017037070664915888,8.685763663862645e-09,True,,
scaling_summary,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,,,,,,full_chain_many_sweeps,,,,,,,,,,,,,,2.0320953793537146,0.0001703707066686988,8.685771657468422e-09,True,,
substep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,,,,0.0001703707066686988,,,,9.166001291305292e-13,,15,15,0.19587729999329895,,,,,,,,,1,0.2
substep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,,,,0.0002409369958457086,,,,9.166001291305292e-13,,15,15,0.5418199000123423,,,,,,,,,2,0.1
substep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,,,,0.0003077194148650708,,,,9.166001291305292e-13,,15,15,1.2424852999974973,,,,,,,,,4,0.05
substep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,,,,0.00034973509155034055,,,,9.166001291305292e-13,,15,15,2.0574628000031225,,,,,,,,,8,0.025
substep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,,,,0.0003729914766020803,,,,9.166001291305292e-13,,15,15,3.9251481000101194,,,,,,,,,16,0.0125
substep,ising2d_3x3_h1_dt0.1_L4_plus,h1_L4_plus_rzz_4_7,rzz,"(4, 7)",0.2,,,,0.0003851933214785719,,,,9.166001291305292e-13,,15,15,7.610336399986409,,,,,,,,,32,0.00625
angle_sweep,ising2d_3x3_h1_dt0.1_L4_random_product,random_rzz_4_7,rzz,"(4, 7)",0.2,1.0,tebd,,9.14823772291129e-13,9.597316235093632e-07,9.597316235083616e-07,9.14823772291129e-13,9.166001291305292e-13,9.163780845256042e-13,15,16,0.0,,,,,,,,,,
