circuit_name,method,n_qubits,depth,fidelity_error,pauli_obs_max_error,pauli_obs_mean_error,pauli_obs_l2_error,worst_observable,max_bond_before,max_bond_after_expansion,max_bond_final,mean_bond_final,sum_chi_cubed,wall_time_s,projected_ratio_before_expansion,projection_defect_before_expansion,projected_ratio_after_expansion,projection_defect_after_expansion,state_delta_from_expansion,route_summary
rand_n8_d8_s2,subspace_expanded_tdvp,8,8,0.00018639511005114073,0.0003504927389862411,4.853222570450482e-05,0.0006148119742573884,Z(5),2,2,8,4.571428571428571,1232.0,0.06263220001710579,0.34283931834078574,0.6571606816592143,1.0571370763530983,0.0,0.0,
rand_n8_d8_s3,plain_tdvp,8,8,0.1616435082338984,0.19565530085291308,0.05214986299245728,0.4357336506387696,X(5),2,,4,2.4285714285714284,131.0,0.03642650000983849,,,,,,
rand_n8_d8_s3,current_projection_defect_router,8,8,2.220446049250313e-16,1.0746958878371515e-13,3.075482708360346e-14,2.723289755411597e-13,Z(5),2,,8,4.285714285714286,1176.0,0.04245939999236725,,,,,,
rand_n8_d8_s3,exact_pauli_enrichment,8,8,0.0,4.9057979900624105e-15,8.074554611321685e-16,7.520618478021257e-15,X(5),2,,8,4.285714285714286,1176.0,0.023191199987195432,,,,,,
rand_n8_d8_s3,subspace_expanded_tdvp,8,8,0.11883573125128566,0.1875996438924799,0.03866859744927156,0.3871256980124943,X(5),2,2,4,3.142857142857143,280.0,0.06081880000419915,0.3981620498589227,0.6018379501410773,0.3981620498589227,0.6018379501410773,0.0,
rand_n8_d8_s4,plain_tdvp,8,8,0.14018051206539295,0.2691783884343144,0.035469703779297417,0.42132850599867827,Z(7),2,,2,2.0,56.0,0.03315679999650456,,,,,,
rand_n8_d8_s4,current_projection_defect_router,8,8,0.0,8.615330671091215e-14,2.785984301001073e-14,2.201268197625994e-13,Z(3),2,,4,2.857142857142857,224.0,0.03821050000260584,,,,,,
rand_n8_d8_s4,exact_pauli_enrichment,8,8,4.440892098500626e-16,1.3322676295501878e-15,3.718353487067256e-16,2.734411908026216e-15,Y(1),2,,4,2.857142857142857,224.0,0.022670500009553507,,,,,,
rand_n8_d8_s4,subspace_expanded_tdvp,8,8,8.881784197001252e-16,1.4777068457760834e-13,2.45470205609866e-14,2.6405771686638205e-13,Z(7),2,2,4,2.857142857142857,224.0,0.0659626999986358,0.12319961061584282,0.8768003893841572,1.0000000000000002,0.0,0.0,
rand_n10_d4_s0,plain_tdvp,10,4,0.11110975777332122,0.13393658572874012,0.020601140892939934,0.29487757380392243,Z(7),2,,3,2.111111111111111,91.0,0.020415700011653826,,,,,,
rand_n10_d4_s0,current_projection_defect_router,10,4,0.0,1.9984014443252818e-15,6.248257120033962e-16,5.243097689181967e-15,Y(1),2,,8,4.888888888888889,1808.0,0.020723899971926585,,,,,,
rand_n10_d4_s0,exact_pauli_enrichment,10,4,0.0,1.9984014443252818e-15,6.248257120033962e-16,5.243097689181967e-15,Y(1),2,,8,4.888888888888889,1808.0,0.013757399981841445,,,,,,
rand_n10_d4_s0,subspace_expanded_tdvp,10,4,0.06698893998049205,0.13393658572874156,0.014353944879432676,0.25487670360355597,Z(7),2,2,4,3.5555555555555554,464.0,0.04022660001646727,0.11330751720865496,0.886692482791345,0.11330751720865499,0.886692482791345,0.0,
rand_n10_d4_s1,plain_tdvp,10,4,0.11514576609952665,0.1548625141211859,0.020442866349244627,0.2735024881962382,Z(7),2,,4,2.5555555555555554,185.0,0.020392300008097664,,,,,,
rand_n10_d4_s1,current_projection_defect_router,10,4,0.0,6.439293542825908e-15,2.5379004453540688e-15,2.050683185354327e-14,Z(0),2,,4,2.888888888888889,296.0,0.021700500015867874,,,,,,
rand_n10_d4_s1,exact_pauli_enrichment,10,4,8.881784197001252e-16,1.1102230246251565e-15,2.7377494858044224e-16,2.4519204108803815e-15,Z(7),2,,4,2.888888888888889,296.0,0.01690340001368895,,,,,,
rand_n10_d4_s1,subspace_expanded_tdvp,10,4,0.07341234639537342,0.15486269232724603,0.012768053088589785,0.2417015021441136,Z(7),2,2,4,2.4444444444444446,184.0,0.03815000000759028,0.8660254037844386,0.1339745962155614,0.8660254037844387,0.1339745962155613,6.661338147750939e-16,
rand_n10_d4_s2,plain_tdvp,10,4,0.012405305064335348,0.013067156438551386,0.0018234016266722337,0.023721251999354837,Z(0),2,,4,2.6666666666666665,204.0,0.01956889999564737,,,,,,
