family,angle_regime,n_qubits,depth,chi_max,dominant_outcome,tdvp_win_fraction,tebd_win_fraction,similar_fraction,both_fail_fraction,mean_tdvp_error_over_tebd_error,mean_tdvp_time_over_tebd_time,mean_tdvp_peak_chi_over_tebd_peak_chi,chi_saturation_fraction_tdvp,chi_saturation_fraction_tebd,interpretation
flattened_2d_grid,medium,8,4,32,tebd_wins,0.0,1.0,0.0,0.0,2.0504024685211053e-14,3.645088624907828,1.0,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,8,4,64,tebd_wins,0.0,1.0,0.0,0.0,2.0504024685211053e-14,3.1932779261329816,1.0,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,8,8,16,tebd_wins,0.0,1.0,0.0,0.0,1.4336057097478845e-13,3.565776437825312,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,8,8,32,tebd_wins,0.0,1.0,0.0,0.0,1.4336057097478845e-13,3.2795173349058917,1.0,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,medium,8,8,64,tebd_wins,0.0,1.0,0.0,0.0,1.4336057097478845e-13,3.9503635273251123,1.0,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,12,4,16,tebd_wins,0.0,1.0,0.0,0.0,4.452182226027617e-13,2.6272873987976264,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,12,4,32,tebd_wins,0.0,1.0,0.0,0.0,4.4599996075489407e-13,2.247272464697869,2.0,0.6666666666666666,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,12,4,64,tebd_wins,0.0,1.0,0.0,0.0,4.4599996075489407e-13,2.805715245238801,2.0,0.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,12,8,16,tebd_wins,0.0,1.0,0.0,0.0,5.934594331125592e-13,2.7049593757803296,1.0,1.0,1.0,TEBD preferable: TEBD is faster and equally/more accurate
flattened_2d_grid,small,12,8,32,tebd_wins,0.0,1.0,0.0,0.0,6.548687154713304e-13,2.5375601458943895,2.0,1.0,0.0,TEBD preferable: TEBD is faster and equally/more accurate
