case_id,family,n_qubits,depth,seed,angle_regime,chi_max,tebd_error,unpadded_tdvp_error,padded4_tdvp_error,tebd_fidelity,unpadded_tdvp_fidelity,padded4_tdvp_fidelity,tebd_peak_chi,unpadded_tdvp_peak_chi,padded4_tdvp_peak_chi,tebd_wall_time,unpadded_tdvp_wall_time,padded4_tdvp_wall_time,tebd_hit_chi_max,unpadded_tdvp_hit_chi_max,padded4_tdvp_hit_chi_max,padded4_error_over_tebd_error,padded4_peak_chi_over_tebd_peak_chi,padded4_time_over_tebd_time,unpadded_error_over_padded4_error,outcome
nn_brickwork_n12_d8_s1_small,nn_brickwork,12,8,1,small,32,7.294609608157683e-08,7.294609608157683e-08,7.294609608157683e-08,0.9999999998270885,0.9999999998270885,0.9999999998270885,28,28,28,0.1400220999494195,0.12299330002861097,0.1666795999626629,False,False,False,1.0,1.0,1.1903806615018127,1.0,similar
nn_brickwork_n12_d8_s1_small,nn_brickwork,12,8,1,small,64,7.294609608157683e-08,7.294609608157683e-08,7.294609608157683e-08,0.9999999998270885,0.9999999998270885,0.9999999998270885,28,28,28,0.16033430001698434,0.07479340001009405,0.11525510001229122,False,False,False,1.0,1.0,0.7188424435699794,1.0,similar
nn_brickwork_n12_d8_s1_medium,nn_brickwork,12,8,1,medium,16,0.00110566338806045,0.00110566338806045,0.00110566338806045,0.9971930049696266,0.9971930049696266,0.9971930049696266,16,16,16,0.14003460004460067,0.15317679999861866,0.1368707000510767,True,True,True,1.0,1.0,0.9774062982111831,1.0,similar
nn_brickwork_n12_d8_s1_medium,nn_brickwork,12,8,1,medium,32,9.668897079387388e-05,9.668897079387388e-05,9.668897079387388e-05,0.9997960125299112,0.9997960125299112,0.9997960125299112,32,32,32,0.15727100003277883,0.14691000001039356,0.1558843000093475,True,True,True,1.0,1.0,0.9911827353857844,1.0,similar
nn_brickwork_n12_d8_s1_medium,nn_brickwork,12,8,1,medium,64,1.4644716284558289e-15,1.4644716284558289e-15,1.4644716284558289e-15,1.0,1.0,1.0,64,64,64,0.18284920003497973,0.16061689995694906,0.198689499986358,True,True,True,1.0,1.0,1.0866304033506733,1.0,similar
nn_brickwork_n12_d8_s2_small,nn_brickwork,12,8,2,small,16,1.7265332665127698e-07,1.7265332665127698e-07,1.7265332665127698e-07,0.9999999928681138,0.9999999928681138,0.9999999928681138,16,16,16,0.2084420000319369,0.18994609999936074,0.16380570002365857,True,True,True,1.0,1.0,0.7858574567436539,1.0,similar
nn_brickwork_n12_d8_s2_small,nn_brickwork,12,8,2,small,32,1.3166300327081998e-07,1.3166300327081998e-07,1.3166300327081998e-07,0.9999999997795657,0.9999999997795657,0.9999999997795657,26,26,26,0.15240100002847612,0.13724760001059622,0.1342970000114292,False,False,False,1.0,1.0,0.8812081284659274,1.0,similar
nn_brickwork_n12_d8_s2_small,nn_brickwork,12,8,2,small,64,1.3166300327081998e-07,1.3166300327081998e-07,1.3166300327081998e-07,0.9999999997795657,0.9999999997795657,0.9999999997795657,26,26,26,0.18899910000618547,0.16426620003767312,0.1655188999720849,False,False,False,1.0,1.0,0.8757655457971382,1.0,similar
nn_brickwork_n12_d8_s2_medium,nn_brickwork,12,8,2,medium,16,0.0019163711847901578,0.0019163711847901578,0.0019163711847901578,0.9926465211397594,0.9926465211397594,0.9926465211397594,16,16,16,0.1515209999633953,0.1636537999729626,0.12526190001517534,True,True,True,1.0,1.0,0.826696629809969,1.0,similar
nn_brickwork_n12_d8_s2_medium,nn_brickwork,12,8,2,medium,32,0.00039262986670349665,0.00039262986670349665,0.00039262986670349665,0.9996423049351961,0.9996423049351961,0.9996423049351961,32,32,32,0.19628500001272187,0.21163029997842386,0.18502360000275075,True,True,True,1.0,1.0,0.9426273020901178,1.0,similar
nn_brickwork_n12_d8_s2_medium,nn_brickwork,12,8,2,medium,64,2.176282880757737e-15,2.176282880757737e-15,2.176282880757737e-15,0.9999999999999925,0.9999999999999925,0.9999999999999925,64,64,64,0.13792890001786873,0.1364241000264883,0.11199449998093769,True,True,True,1.0,1.0,0.8119726900339869,1.0,similar
nn_brickwork_n16_d4_s0_small,nn_brickwork,16,4,0,small,16,1.8624740453023693e-08,1.8624740453023693e-08,1.8624740453023693e-08,0.9999999999453362,0.9999999999453362,0.9999999999453362,8,8,8,0.04326400003628805,0.08476060000248253,0.08671880001202226,False,False,False,1.0,1.0,2.00441013173276,1.0,similar
nn_brickwork_n16_d4_s0_small,nn_brickwork,16,4,0,small,32,1.8624740453023693e-08,1.8624740453023693e-08,1.8624740453023693e-08,0.9999999999453362,0.9999999999453362,0.9999999999453362,8,8,8,0.06895829999120906,0.09053829999174923,0.13623469998128712,False,False,False,1.0,1.0,1.9756098975562708,1.0,similar
nn_brickwork_n16_d4_s0_small,nn_brickwork,16,4,0,small,64,1.8624740453023693e-08,1.8624740453023693e-08,1.8624740453023693e-08,0.9999999999453362,0.9999999999453362,0.9999999999453362,8,8,8,0.11182719998760149,0.06974420003825799,0.08991009998135269,False,False,False,1.0,1.0,0.8040092212925048,1.0,similar
nn_brickwork_n16_d4_s0_medium,nn_brickwork,16,4,0,medium,16,2.0643724360155933e-15,2.0643724360155933e-15,2.0643724360155933e-15,1.0,1.0,1.0,8,8,8,0.0925037000561133,0.22789119998924434,0.08873919997131452,False,False,False,1.0,1.0,0.9593043296374608,1.0,similar
nn_brickwork_n16_d4_s0_medium,nn_brickwork,16,4,0,medium,32,2.0643724360155933e-15,2.0643724360155933e-15,2.0643724360155933e-15,1.0,1.0,1.0,8,8,8,0.07570519996806979,0.062380799965467304,0.15732769999885932,False,False,False,1.0,1.0,2.078162399217167,1.0,similar
nn_brickwork_n16_d4_s0_medium,nn_brickwork,16,4,0,medium,64,2.0643724360155933e-15,2.0643724360155933e-15,2.0643724360155933e-15,1.0,1.0,1.0,8,8,8,0.06696809997083619,0.10706260002916679,0.0804325999924913,False,False,False,1.0,1.0,1.2010584147903067,1.0,similar
nn_brickwork_n16_d4_s1_small,nn_brickwork,16,4,1,small,16,2.8303114568023254e-08,2.8303114568023254e-08,2.8303114568023254e-08,0.9999999999193601,0.9999999999193601,0.9999999999193601,8,8,8,0.040901899978052825,0.05648119997931644,0.047280400001909584,False,False,False,1.0,1.0,1.1559463014500388,1.0,similar
nn_brickwork_n16_d4_s1_small,nn_brickwork,16,4,1,small,32,2.8303114568023254e-08,2.8303114568023254e-08,2.8303114568023254e-08,0.9999999999193601,0.9999999999193601,0.9999999999193601,8,8,8,0.05048450001049787,0.0913363000145182,0.05150489998050034,False,False,False,1.0,1.0,1.0202121437231286,1.0,similar
nn_brickwork_n16_d4_s1_small,nn_brickwork,16,4,1,small,64,2.8303114568023254e-08,2.8303114568023254e-08,2.8303114568023254e-08,0.9999999999193601,0.9999999999193601,0.9999999999193601,8,8,8,0.05051640002056956,0.09301409998442978,0.0708407000056468,False,False,False,1.0,1.0,1.4023307277795225,1.0,similar
