L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,6,0.15000000000000002,32,32,1,1.0,0.00010366562326458417,0.0,8.669922947439092,1
6,20,0.1,1.0,6,0.2,32,32,1,1.0,0.0003076504602866786,0.0,8.637207490074898,1
6,20,0.1,1.0,6,0.25,32,32,1,1.0,0.0007147700913414841,0.0,8.596275236842422,1
6,20,0.1,1.0,6,0.30000000000000004,32,32,1,1.0,0.0014188797665067086,0.0,8.546330520221641,1
6,20,0.1,1.0,6,0.35000000000000003,32,32,1,1.0,0.002519598140208524,0.0,8.486652570353503,1
6,20,0.1,1.0,6,0.4,32,32,1,1.0,0.004112302486829707,0.0,8.41668155498518,1
6,20,0.1,1.0,6,0.45,32,32,1,1.0,0.006277275159730515,0.0,8.336091936894931,1
6,20,0.1,1.0,6,0.5,32,32,1,1.0,0.009070016232374653,0.0,8.244851096924007,1
6,20,0.1,1.0,6,0.55,32,32,1,1.0,0.012514827177299468,0.0,8.14326107986966,1
6,20,0.1,1.0,6,0.6000000000000001,32,32,1,1.0,0.016603621703204285,0.0,8.031984426875558,1
6,20,0.1,1.0,6,0.65,32,32,1,1.0,0.0213014960988995,0.0,7.912054809019396,1
6,20,0.1,1.0,6,0.7000000000000001,32,32,1,1.0,0.026559942921962468,0.0,7.784871966501918,1
6,20,0.1,1.0,6,0.75,32,32,1,1.0,0.032337669616388086,0.0,7.652180684237614,1
6,20,0.1,1.0,6,0.8,32,32,1,1.0,0.0386274575293969,0.0,7.516031747266873,1
6,20,0.1,1.0,6,0.8500000000000001,32,32,1,1.0,0.045484690737586236,0.0,7.378722574969657,1
6,20,0.1,1.0,6,0.9,32,32,1,1.0,0.05304877010183396,0.0,7.242715054166925,1
6,20,0.1,1.0,6,0.9500000000000001,32,32,1,1.0,0.061543905306451666,0.0,7.110531603957765,1
6,20,0.1,1.0,6,1.0,32,32,1,1.0,0.07124770841324002,0.0,6.984632338070763,1
6,20,0.1,1.0,6,1.05,32,32,1,1.0,0.08243065320163305,0.0,6.8672818359507275,1
6,20,0.1,1.0,6,1.1,32,32,1,1.0,0.09528638764905518,0.0,6.760417424750009,1
6,20,0.1,1.0,6,1.1500000000000001,32,32,1,1.0,0.10987326174564341,0.0,6.665534922419198,1
6,20,0.1,1.0,6,1.2000000000000002,32,32,1,1.0,0.12607763166791136,0.0,6.583606978855147,1
6,20,0.1,1.0,6,1.25,32,32,1,1.0,0.14360454576352452,0.0,6.515046693405366,1
6,20,0.1,1.0,6,1.3,32,32,1,1.0,0.161999063099657,0.0,6.459721848178014,1
6,20,0.1,1.0,6,1.35,32,32,1,1.0,0.18069551528138653,0.0,6.417016768214558,1
6,20,0.1,1.0,6,1.4000000000000001,32,32,1,1.0,0.19908522603448442,0.0,6.385930961815951,1
6,20,0.1,1.0,6,1.4500000000000002,32,32,1,1.0,0.21658881106318995,0.0,6.3651973586369,1
6,20,0.1,1.0,6,1.5,32,32,1,1.0,0.23271990906832665,0.0,6.353402700822115,1
6,20,0.1,1.0,6,1.55,32,32,1,1.0,0.24713051352873844,0.0,6.349093363524612,1
6,20,0.1,1.0,6,1.6,32,32,1,1.0,0.25963351331470047,0.0,6.350856962370452,1
6,20,0.1,1.0,6,1.6500000000000001,32,32,1,1.0,0.27020254740244565,0.0,6.357375580085604,1
6,20,0.1,1.0,6,1.7000000000000002,32,32,1,1.0,0.27895270707337794,0.0,6.367452050454903,1
6,20,0.1,1.0,6,1.75,32,32,1,1.0,0.28610756421877304,0.0,6.380015882255684,1
6,20,0.1,1.0,6,1.8,32,32,1,1.0,0.2919586306352209,0.0,6.394115836183168,1
6,20,0.1,1.0,6,1.85,32,32,1,1.0,0.2968232888602372,0.0,6.408907734751907,1
6,20,0.1,1.0,6,1.9000000000000001,32,32,1,1.0,0.3010065332787915,0.0,6.423642385864589,1
6,20,0.1,1.0,6,1.9500000000000002,32,32,1,1.0,0.3047705142897319,0.0,6.437658198571132,1
6,20,0.1,1.0,6,2.0,32,32,1,1.0,0.3083144051809312,0.0,6.450379326268136,1
6,20,0.1,1.0,7,0.0,32,32,1,1.0,2.141404136484463e-27,0.0,10.200920131780691,1
6,20,0.1,1.0,7,0.05,32,32,1,1.0,1.3724390322151586e-06,0.0,10.192611874420695,1
6,20,0.1,1.0,7,0.1,32,32,1,1.0,1.895404742664022e-05,0.0,10.177642303210082,1
6,20,0.1,1.0,7,0.15000000000000002,32,32,1,1.0,8.817242589823318e-05,0.0,10.15545060995528,1
6,20,0.1,1.0,7,0.2,32,32,1,1.0,0.0002633899861829356,0.0,10.125189002132764,1
6,20,0.1,1.0,7,0.25,32,32,1,1.0,0.0006167223470397995,0.0,10.08582373923168,1
6,20,0.1,1.0,7,0.30000000000000004,32,32,1,1.0,0.0012351285945320029,0.0,10.036253034195095,1
6,20,0.1,1.0,7,0.35000000000000003,32,32,1,1.0,0.002214926072054712,0.0,9.975428986642719,1
