L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,centered,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,3,1.05,32,32,1,1.0,0,0.005334350420383309,0.0,15.020218337709801,32
6,20,0.1,1.0,3,1.1,32,32,1,1.0,0,0.006075607894183077,0.0,14.817386304258077,32
6,20,0.1,1.0,3,1.1500000000000001,32,32,1,1.0,0,0.006888389078779817,0.0,14.637968458768963,32
6,20,0.1,1.0,3,1.2000000000000002,32,32,1,1.0,0,0.007779092035813456,0.0,14.484992879525219,32
6,20,0.1,1.0,3,1.25,32,32,1,1.0,0,0.008749829681079114,0.0,14.360424316486904,32
6,20,0.1,1.0,3,1.3,32,32,1,1.0,0,0.009796830790857735,0.0,14.265150164749766,32
6,20,0.1,1.0,3,1.35,32,32,1,1.0,0,0.01090981069721619,0.0,14.199057622366633,32
6,20,0.1,1.0,3,1.4000000000000001,32,32,1,1.0,0,0.012072443906838865,0.0,14.161181457516447,32
6,20,0.1,1.0,3,1.4500000000000002,32,32,1,1.0,0,0.013263826689617073,0.0,14.1498900143471,32
6,20,0.1,1.0,3,1.5,32,32,1,1.0,0,0.014460565861528515,0.0,14.163076473831545,32
6,20,0.1,1.0,3,1.55,32,32,1,1.0,0,0.015639071394998524,0.0,14.19832570534532,32
6,20,0.1,1.0,3,1.6,32,32,1,1.0,0,0.016777660457897053,0.0,14.253039581713491,32
6,20,0.1,1.0,3,1.6500000000000001,32,32,1,1.0,0,0.017858223522196928,0.0,14.324515388635398,32
6,20,0.1,1.0,3,1.7000000000000002,32,32,1,1.0,0,0.0188672988941187,0.0,14.409983489926974,32
6,20,0.1,1.0,3,1.75,32,32,1,1.0,0,0.01979661114237942,0.0,14.50661961460305,32
6,20,0.1,1.0,3,1.8,32,32,1,1.0,0,0.020643101067853612,0.0,14.611547778863358,32
6,20,0.1,1.0,3,1.85,32,32,1,1.0,0,0.021408565638113906,0.0,14.721850593987696,32
6,20,0.1,1.0,3,1.9000000000000001,32,32,1,1.0,0,0.022099004542788264,0.0,14.83459686847385,32
6,20,0.1,1.0,3,1.9500000000000002,32,32,1,1.0,0,0.02272372809204245,0.0,14.946891933391672,32
6,20,0.1,1.0,3,2.0,32,32,1,1.0,0,0.023294310798959966,0.0,15.055947270314732,32
6,20,0.1,1.0,4,0.0,32,32,1,1.0,0,2.141404136484463e-27,0.0,20.623114586041112,1
6,20,0.1,1.0,4,0.05,32,32,1,1.0,0,8.281906280134081e-08,0.0,20.618236170659486,32
6,20,0.1,1.0,4,0.1,32,32,1,1.0,0,1.1388631498369855e-06,0.0,20.604339350072184,32
6,20,0.1,1.0,4,0.15000000000000002,32,32,1,1.0,0,5.280760444770123e-06,0.0,20.58002887170587,32
6,20,0.1,1.0,4,0.2,32,32,1,1.0,0,1.5792106501639644e-05,0.0,20.543102398124375,32
6,20,0.1,1.0,4,0.25,32,32,1,1.0,0,3.7183278243496595e-05,0.0,20.490731823425577,32
6,20,0.1,1.0,4,0.30000000000000004,32,32,1,1.0,0,7.514553233745367e-05,0.0,20.41970460891178,32
6,20,0.1,1.0,4,0.35000000000000003,32,32,1,1.0,0,0.00013628019571041442,0.0,20.326702427944742,32
6,20,0.1,1.0,4,0.4,32,32,1,1.0,0,0.00022759194869471968,0.0,20.20859291501446,32
6,20,0.1,1.0,4,0.45,32,32,1,1.0,0,0.0003558303906754495,0.0,20.062713569490974,32
6,20,0.1,1.0,4,0.5,32,32,1,1.0,0,0.0005268335907590312,0.0,19.887130659565866,32
6,20,0.1,1.0,4,0.55,32,32,1,1.0,0,0.0007450558087679537,0.0,19.680860795842435,32
6,20,0.1,1.0,4,0.6000000000000001,32,32,1,1.0,0,0.0010134616296623464,0.0,19.444046116651116,32
6,20,0.1,1.0,4,0.65,32,32,1,1.0,0,0.0013339216865100327,0.0,19.178076950847732,32
6,20,0.1,1.0,4,0.7000000000000001,32,32,1,1.0,0,0.0017081831938222784,0.0,18.885655779121816,32
6,20,0.1,1.0,4,0.75,32,32,1,1.0,0,0.0021393779303101436,0.0,18.570797100534286,32
6,20,0.1,1.0,4,0.8,32,32,1,1.0,0,0.002633893899290796,0.0,18.238755103482053,32
6,20,0.1,1.0,4,0.8500000000000001,32,32,1,1.0,0,0.00320323539998691,0.0,17.895873291080644,32
