L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,seed,unitary_ensemble,basis,orientation,weight_scope,probability_power,centered,spectrum_discarded_weight_threshold,entropy,entropy_std,entropy_old_raw_xyz,entropy_old_raw_xyz_std,entropy_old_centered_xyz,entropy_old_centered_xyz_std,entropy_change_vs_raw_xyz,entropy_change_vs_centered_xyz,response_norm,rank,response_shape,probe_file,probe_sha256,raw_file,raw_sha256
6,20,0.1,1.0,1,1.5,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,7.301473519655442e-06,0.0,1.8791492794384275e-05,0.0,7.477286294596631e-05,0.0,-1.1490019274728833e-05,-6.747138942631086e-05,44.31934142760445,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p5.npz,2dc229ef9f1908bda1a78950659c4241d3d80d023bf4bf523a550073ba017416
6,20,0.1,1.0,1,1.55,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,7.8797683663564e-06,0.0,2.009308291693345e-05,0.0,7.999283757881825e-05,0.0,-1.221331455057705e-05,-7.211306921246184e-05,44.38299121016936,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p55.npz,4723c5cd0028d379e3de1eceb16c1377e06bb293b454420588d80b301d8ac444
6,20,0.1,1.0,1,1.6,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,8.456404796347231e-06,0.0,2.1334136375974667e-05,0.0,8.497391099172581e-05,0.0,-1.2877731579627436e-05,-7.651750619537858e-05,44.46844153425961,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p6.npz,3edc9cf286dbf6f000049530ac3915f1a8877655e8af04aaf66dabc83b0b538d
6,20,0.1,1.0,1,1.6500000000000001,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,9.024006267178357e-06,0.0,2.2504910665831813e-05,0.0,8.967585457844433e-05,0.0,-1.3480904398653455e-05,-8.065184831126597e-05,44.570492418590135,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p65.npz,3fe0866a7fc6b2083d2529a2602463a3370a951e56a1fbfabbe3f08b4dd93023
6,20,0.1,1.0,1,1.7000000000000002,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,9.575764879358414e-06,0.0,2.359946628782584e-05,0.0,9.407363480546265e-05,0.0,-1.4023701408467428e-05,-8.449786992610424e-05,44.68437063486859,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p7.npz,65fb0afb4d257fae85d9addbdd76d70dbde6e004f170a500769974e52422c484
6,20,0.1,1.0,1,1.75,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.0106105813704262e-05,0.0,2.4616056400152123e-05,0.0,9.815900131263366e-05,0.0,-1.450995058644786e-05,-8.80528954989294e-05,44.80584309126569,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p75.npz,d48152ec2c5242a047f9a1f9a1941a53295c5469cbcbb9c77b5b5cd5488fbb4a
6,20,0.1,1.0,1,1.8,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.061125113535965e-05,0.0,2.555738314667759e-05,0.0,0.00010194157870192514,0.0,-1.4946132011317939e-05,-9.133032756656549e-05,44.931265277569146,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p8.npz,6069436f09fabca92fbeded7dfe119390b0bb5819804e1dbb6b789bb3c01ef33
6,20,0.1,1.0,1,1.85,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.108971039075924e-05,0.0,2.643081561960581e-05,0.0,0.00010544982276681795,0.0,-1.534110522884657e-05,-9.43601123760587e-05,45.05758014912399,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p85.npz,c62707b50791b1303e8230e616bfcd35ce8be5d1e5bdd98cb14749c328bc5280
6,20,0.1,1.0,1,1.9000000000000001,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.1542521915080466e-05,0.0,2.7248243584890977e-05,0.0,0.00010873039586238996,0.0,-1.5705721669810512e-05,-9.718787394730949e-05,45.18228406824082,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p9.npz,3126cfe9c525a45ecef0d26a788a2f2a9959b042ff01f2c0547de0481a40682d
6,20,0.1,1.0,1,1.9500000000000002,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.1973257927813865e-05,0.0,2.8025613554112962e-05,0.0,0.00011184642433170496,0.0,-1.6052355626299098e-05,-9.98731664038911e-05,45.30337450010779,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_1p95.npz,ec62abad552d77002801697938a186abd6ba82512ed99d97ac6d58ab832ef5af
6,20,0.1,1.0,1,2.0,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.2387720256646185e-05,0.0,2.8781931041466275e-05,0.0,0.00011487342158580287,0.0,-1.6394210784820092e-05,-0.00010248570132915669,45.41929021980799,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_2.npz,b627589d362acddd6ceedc2b612e4e8061f446ff3273a45ded7fa67a5e4cb878
6,20,0.1,1.0,2,0.0,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.61290072053229,1,256x64,raw/probes_cut_02.npz,479d6c9ba077c63e885abdab1cff40c5d55f87ca6721e6156aa226cb416488e4,raw/cut_02_J_0.npz,b56c8c9e7c6827317c5218dcd8a38c3acf86aa5ac5b9240ed8ae67f09c3901de
6,20,0.1,1.0,2,0.05,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,7.744860799062758e-09,0.0,1.5022979057473285e-08,0.0,5.4402322143314107e-08,0.0,-7.278118258410527e-09,-4.665746134425135e-08,51.61652534043665,64,256x64,raw/probes_cut_02.npz,479d6c9ba077c63e885abdab1cff40c5d55f87ca6721e6156aa226cb416488e4,raw/cut_02_J_0p05.npz,0c7d64e9ecf38dcd47e6c4480009cd0639622f0a011888bd053aca950d0330c6
