panel,method,theta,median,min,max,median_display,min_display,max_display,sequence,gate_count,chi_max,x_median,x_min,x_max,y_median,y_min,y_max,y_median_display,y_min_display,y_max_display
b,hybrid_tdvp,,2.075085837416335e-05,8.993258079903477e-06,2.89745003181352e-05,2.075085837416335e-05,8.993258079903477e-06,2.89745003181352e-05,commuting,4,,,,,,,,,,
b,hybrid_tdvp,,4.2093122689101925e-05,1.5221932404330119e-05,5.657966393834979e-05,4.2093122689101925e-05,1.5221932404330119e-05,5.657966393834979e-05,commuting,5,,,,,,,,,,
b,hybrid_tdvp,,0.00011212052862186184,3.5658797849058566e-05,0.0001548641663910999,0.00011212052862186184,3.5658797849058566e-05,0.0001548641663910999,commuting,6,,,,,,,,,,
b,hybrid_tdvp,,8.970904790595036e-05,3.334620674455557e-05,0.00012477893604567747,8.970904790595036e-05,3.334620674455557e-05,0.00012477893604567747,commuting,7,,,,,,,,,,
b,hybrid_tdvp,,0.00014555423376316767,4.838388455086218e-05,0.0001926248289663146,0.00014555423376316767,4.838388455086218e-05,0.0001926248289663146,commuting,8,,,,,,,,,,
b,hybrid_tdvp,,0.0002591242959146811,8.122052784020894e-05,0.00034797934488572935,0.0002591242959146811,8.122052784020894e-05,0.00034797934488572935,commuting,9,,,,,,,,,,
b,hybrid_tdvp,,0.00022086244580732384,7.715611801206723e-05,0.0002981275356702673,0.00022086244580732384,7.715611801206723e-05,0.0002981275356702673,commuting,10,,,,,,,,,,
b,hybrid_tdvp,,0.00031518112726347525,0.00010147157598039414,0.0004095662348934104,0.00031518112726347525,0.00010147157598039414,0.0004095662348934104,commuting,11,,,,,,,,,,
b,hybrid_tdvp,,0.0004738488111741823,0.00014696039695782925,0.0006229556499853794,0.0004738488111741823,0.00014696039695782925,0.0006229556499853794,commuting,12,,,,,,,,,,
b,hybrid_tdvp,,0.0004204566560320755,0.00014134586333558463,0.0005539795269358105,0.0004204566560320755,0.00014134586333558463,0.0005539795269358105,commuting,13,,,,,,,,,,
b,hybrid_tdvp,,0.0005571835232737188,0.00017591213782353066,0.0007124968947073151,0.0005571835232737188,0.00017591213782353066,0.0007124968947073151,commuting,14,,,,,,,,,,
b,hybrid_tdvp,,0.0007641253237222756,0.00023450699514060425,0.0009864709712333886,0.0007641253237222756,0.00023450699514060425,0.0009864709712333886,commuting,15,,,,,,,,,,
