experiment,method,gate_type,theta,q0,q1,chi_max,tdvp_substeps,sequence,gate_count,infidelity_median,infidelity_min,infidelity_max,n_seeds
A,hybrid_tdvp,rzz,0.05,2,9,16,4,,1,1.45345957491827e-11,1.45345957491827e-11,1.45345957491827e-11,1
A,hybrid_tdvp,rzz,0.05,2,9,16,8,,1,3.6350922272276875e-12,3.6350922272276875e-12,3.6350922272276875e-12,1
A,hybrid_tdvp,rzz,0.05,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.05,2,9,64,2,,1,5.823763693513229e-11,5.823763693513229e-11,5.823763693513229e-11,1
A,hybrid_tdvp,rzz,0.05,2,9,64,4,,1,1.45345957491827e-11,1.45345957491827e-11,1.45345957491827e-11,1
A,hybrid_tdvp,rzz,0.05,2,9,64,8,,1,3.6350922272276875e-12,3.6350922272276875e-12,3.6350922272276875e-12,1
A,hybrid_tdvp,rzz,0.05,2,9,8,1,,1,0.00039480613211362314,0.00039480613211362314,0.00039480613211362314,1
A,hybrid_tdvp,rzz,0.05,2,9,8,2,,1,0.00039512707706057526,0.00039512707706057526,0.00039512707706057526,1
A,hybrid_tdvp,rzz,0.05,2,9,8,4,,1,0.0003953098554629886,0.0003953098554629886,0.0003953098554629886,1
A,hybrid_tdvp,rzz,0.05,2,9,8,8,,1,0.00039540650411296063,0.00039540650411296063,0.00039540650411296063,1
A,hybrid_tdvp,rzz,0.1,2,9,16,1,,1,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1
A,hybrid_tdvp,rzz,0.1,2,9,16,2,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.1,2,9,16,4,,1,5.823475035526826e-11,5.823475035526826e-11,5.823475035526826e-11,1
A,hybrid_tdvp,rzz,0.1,2,9,16,8,,1,1.4511059021060646e-11,1.4511059021060646e-11,1.4511059021060646e-11,1
A,hybrid_tdvp,rzz,0.1,2,9,64,1,,1,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1
A,hybrid_tdvp,rzz,0.1,2,9,64,2,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.1,2,9,64,4,,1,5.823475035526826e-11,5.823475035526826e-11,5.823475035526826e-11,1
A,hybrid_tdvp,rzz,0.1,2,9,64,8,,1,1.4511059021060646e-11,1.4511059021060646e-11,1.4511059021060646e-11,1
A,hybrid_tdvp,rzz,0.1,2,9,8,1,,1,0.001546535884512923,0.001546535884512923,0.001546535884512923,1
A,hybrid_tdvp,rzz,0.1,2,9,8,2,,1,0.0015537667763215746,0.0015537667763215746,0.0015537667763215746,1
A,hybrid_tdvp,rzz,0.1,2,9,8,4,,1,0.0015573929167596035,0.0015573929167596035,0.0015573929167596035,1
A,hybrid_tdvp,rzz,0.1,2,9,8,8,,1,0.0015592069575456335,0.0015592069575456335,0.0015592069575456335,1
A,hybrid_tdvp,rzz,0.2,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.2,2,9,16,2,,1,5.329070518200751e-15,5.329070518200751e-15,5.329070518200751e-15,1
A,hybrid_tdvp,rzz,0.2,2,9,16,4,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.2,2,9,16,8,,1,5.821187976096098e-11,5.821187976096098e-11,5.821187976096098e-11,1
A,hybrid_tdvp,rzz,0.2,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.2,2,9,64,2,,1,5.329070518200751e-15,5.329070518200751e-15,5.329070518200751e-15,1
A,hybrid_tdvp,rzz,0.2,2,9,64,4,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rzz,0.2,2,9,64,8,,1,5.821187976096098e-11,5.821187976096098e-11,5.821187976096098e-11,1
A,hybrid_tdvp,rzz,0.2,2,9,8,1,,1,0.005484739329295052,0.005484739329295052,0.005484739329295052,1
A,hybrid_tdvp,rzz,0.2,2,9,8,2,,1,0.005707994178676623,0.005707994178676623,0.005707994178676623,1
A,hybrid_tdvp,rzz,0.2,2,9,8,4,,1,0.005793832883359662,0.005793832883359662,0.005793832883359662,1
A,hybrid_tdvp,rzz,0.2,2,9,8,8,,1,0.005832463607211347,0.005832463607211347,0.005832463607211347,1
A,mpo_zipup,rxx,0.025,2,9,16,,,1,5.551115123125783e-15,5.551115123125783e-15,5.551115123125783e-15,1
A,mpo_zipup,rxx,0.025,2,9,64,,,1,5.551115123125783e-15,5.551115123125783e-15,5.551115123125783e-15,1
