case_id,n_qubits,depth,seed,angle_regime,chi_max,tdvp_sweeps,tebd_error,tdvp_error,tebd_fidelity,tdvp_fidelity,tebd_peak_chi,tdvp_peak_chi,tdvp_peak_chi_over_tebd_peak_chi,tebd_wall_time,tdvp_wall_time,tdvp_time_over_tebd_time,tebd_error_over_tdvp_error,tdvp_error_over_tebd_error,tebd_hit_chi_max,tdvp_hit_chi_max,tdvp_gate_count,tebd_gate_count,outcome
nn_brickwork_n8_d8_s2_small,8,8,2,small,64,1,1.0236435429833646e-07,1.925258672140904e-07,0.9999999999493112,0.9999999632167772,14,13,0.9285714285714286,0.04419369995594025,0.40187499998137355,9.093490709807744,0.5316914333620761,1.880790129862805,False,False,56,56,similar
nn_brickwork_n8_d8_s2_medium,8,8,2,medium,16,1,8.246441723924747e-16,0.0018148965213988805,0.9999999999999996,0.9958334425337222,16,16,1.0,0.057002599991392344,0.46206819999497384,8.106089898789675,4.5437531157801653e-13,1814896521398.8804,True,True,56,56,tebd_wins
nn_brickwork_n8_d8_s2_medium,8,8,2,medium,32,1,8.246441723924747e-16,0.0018148965213988805,0.9999999999999996,0.9958334425337222,16,16,1.0,0.03480590000981465,0.38241419999394566,10.98705104267126,4.5437531157801653e-13,1814896521398.8804,False,False,56,56,tebd_wins
nn_brickwork_n8_d8_s2_medium,8,8,2,medium,64,1,8.246441723924747e-16,0.0018148965213988805,0.9999999999999996,0.9958334425337222,16,16,1.0,0.0266836000373587,0.5473056999617256,20.51093927339128,4.5437531157801653e-13,1814896521398.8804,False,False,56,56,tebd_wins
nn_brickwork_n8_d12_s0_small,8,12,0,small,16,1,1.2123529907718597e-07,9.34209933010131e-06,0.999999999853753,0.9999988657119699,15,15,1.0,0.09279730002162978,0.533422700013034,5.748256682992937,0.01297730786125898,77.0575847233531,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s0_small,8,12,0,small,32,1,1.2123529907718597e-07,9.34209933010131e-06,0.999999999853753,0.9999988657119699,15,15,1.0,0.11326229997212067,0.7053829999640584,6.227871058045681,0.01297730786125898,77.0575847233531,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s0_small,8,12,0,small,64,1,1.2123529907718597e-07,9.34209933010131e-06,0.999999999853753,0.9999988657119699,15,15,1.0,0.07368590001715347,0.5211478999699466,7.072559334263782,0.01297730786125898,77.0575847233531,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s0_medium,8,12,0,medium,16,1,2.0586706942335043e-15,0.004665924917416019,1.0,0.9795051055505862,16,16,1.0,0.13209179998375475,0.7666951999999583,5.804260371152864,4.4121384948765794e-13,2266474638457.542,True,True,84,84,tebd_wins
nn_brickwork_n8_d12_s0_medium,8,12,0,medium,32,1,2.0586706942335043e-15,0.004665924917416019,1.0,0.9795051055505862,16,16,1.0,0.03735309996409342,0.5695255000027828,15.247074554729142,4.4121384948765794e-13,2266474638457.542,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s0_medium,8,12,0,medium,64,1,2.0586706942335043e-15,0.004665924917416019,1.0,0.9795051055505862,16,16,1.0,0.05341910000424832,0.6005774000077508,11.242746507522366,4.4121384948765794e-13,2266474638457.542,False,False,84,84,tebd_wins
nn_brickwork_n8_d12_s1_small,8,12,1,small,16,1,1.3779244648118052e-07,1.0960152522112602e-05,0.9999999999242484,0.9999992926136642,16,16,1.0,0.04946660000132397,0.6091374999959953,12.314116999747139,0.012572128554158169,79.54102566579746,True,True,84,84,tebd_wins
