L,J,c,entropy,k,dt,g,n_pasts,n_futures,n_seeds,branch_weight_beta
5,1.0,5,0.05197055102771365,20,0.1,1.0,32,32,1,1.0
5,1.0,6,0.046295273140740036,20,0.1,1.0,32,32,1,1.0
5,1.0,7,0.07328206047081406,20,0.1,1.0,32,32,1,1.0
5,1.0,8,0.07329616035114128,20,0.1,1.0,32,32,1,1.0
5,1.0,9,0.10412067474788858,20,0.1,1.0,32,32,1,1.0
5,1.0,10,0.12752092534781284,20,0.1,1.0,32,32,1,1.0
5,1.0,11,0.1151212153359555,20,0.1,1.0,32,32,1,1.0
5,1.0,12,0.08881472861781485,20,0.1,1.0,32,32,1,1.0
5,1.0,13,0.06588540382908996,20,0.1,1.0,32,32,1,1.0
5,1.0,14,0.07423691825155551,20,0.1,1.0,32,32,1,1.0
5,1.0,15,0.046267276369163675,20,0.1,1.0,32,32,1,1.0
5,1.0,16,0.09112683615902833,20,0.1,1.0,32,32,1,1.0
5,1.0,17,0.08364604632318783,20,0.1,1.0,32,32,1,1.0
5,1.0,18,0.06178609333112799,20,0.1,1.0,32,32,1,1.0
5,1.0,19,0.03652174363811652,20,0.1,1.0,32,32,1,1.0
5,1.0,20,0.02492166607577313,20,0.1,1.0,32,32,1,1.0
5,1.5,1,4.3549429696453745e-05,20,0.1,1.0,32,32,1,1.0
5,1.5,2,0.019950775153388833,20,0.1,1.0,32,32,1,1.0
5,1.5,3,0.07544406262744668,20,0.1,1.0,32,32,1,1.0
5,1.5,4,0.09117504893771776,20,0.1,1.0,32,32,1,1.0
5,1.5,5,0.10960365863508384,20,0.1,1.0,32,32,1,1.0
5,1.5,6,0.16542310595827311,20,0.1,1.0,32,32,1,1.0
5,1.5,7,0.28360222313369593,20,0.1,1.0,32,32,1,1.0
5,1.5,8,0.2508345757900838,20,0.1,1.0,32,32,1,1.0
5,1.5,9,0.26551468690920343,20,0.1,1.0,32,32,1,1.0
5,1.5,10,0.41918386845448535,20,0.1,1.0,32,32,1,1.0
5,1.5,11,0.3498737998191967,20,0.1,1.0,32,32,1,1.0
5,1.5,12,0.35292610609775515,20,0.1,1.0,32,32,1,1.0
5,1.5,13,0.27949766910394647,20,0.1,1.0,32,32,1,1.0
5,1.5,14,0.31548296557312056,20,0.1,1.0,32,32,1,1.0
5,1.5,15,0.11808351366076925,20,0.1,1.0,32,32,1,1.0
5,1.5,16,0.23026411108099618,20,0.1,1.0,32,32,1,1.0
5,1.5,17,0.20171737390388464,20,0.1,1.0,32,32,1,1.0
5,1.5,18,0.13286118567776817,20,0.1,1.0,32,32,1,1.0
5,1.5,19,0.10413131687378333,20,0.1,1.0,32,32,1,1.0
5,1.5,20,0.07747769874712498,20,0.1,1.0,32,32,1,1.0
5,2.0,1,8.249790956349007e-05,20,0.1,1.0,32,32,1,1.0
5,2.0,2,0.033019745987280864,20,0.1,1.0,32,32,1,1.0
5,2.0,3,0.10236756372375645,20,0.1,1.0,32,32,1,1.0
5,2.0,4,0.12451535738134083,20,0.1,1.0,32,32,1,1.0
5,2.0,5,0.12877072503142817,20,0.1,1.0,32,32,1,1.0
5,2.0,6,0.25158577020795597,20,0.1,1.0,32,32,1,1.0
5,2.0,7,0.36959750124609514,20,0.1,1.0,32,32,1,1.0
5,2.0,8,0.31686005924136884,20,0.1,1.0,32,32,1,1.0
5,2.0,9,0.31199854041853553,20,0.1,1.0,32,32,1,1.0
5,2.0,10,0.4810491184832896,20,0.1,1.0,32,32,1,1.0
5,2.0,11,0.4264916615085192,20,0.1,1.0,32,32,1,1.0
5,2.0,12,0.42012716910439074,20,0.1,1.0,32,32,1,1.0
5,2.0,13,0.4001607083403573,20,0.1,1.0,32,32,1,1.0
5,2.0,14,0.5961526648606936,20,0.1,1.0,32,32,1,1.0
5,2.0,15,0.24956621173781232,20,0.1,1.0,32,32,1,1.0
5,2.0,16,0.3131055272113023,20,0.1,1.0,32,32,1,1.0
5,2.0,17,0.33088355327521424,20,0.1,1.0,32,32,1,1.0
5,2.0,18,0.26171941484667316,20,0.1,1.0,32,32,1,1.0
5,2.0,19,0.2500450599131079,20,0.1,1.0,32,32,1,1.0
5,2.0,20,0.17688798702686773,20,0.1,1.0,32,32,1,1.0
6,0.5,1,1.3171033036605551e-06,20,0.1,1.0,32,32,1,1.0
6,0.5,2,0.001009414739694617,20,0.1,1.0,32,32,1,1.0
6,0.5,3,0.0023377227825973667,20,0.1,1.0,32,32,1,1.0
6,0.5,4,0.0021517180380392314,20,0.1,1.0,32,32,1,1.0
6,0.5,5,0.006196646659865487,20,0.1,1.0,32,32,1,1.0
6,0.5,6,0.005997501774846715,20,0.1,1.0,32,32,1,1.0
6,0.5,7,0.0066325394507964295,20,0.1,1.0,32,32,1,1.0
6,0.5,8,0.00993689711023519,20,0.1,1.0,32,32,1,1.0
6,0.5,9,0.010654701265288093,20,0.1,1.0,32,32,1,1.0
6,0.5,10,0.012638926122913738,20,0.1,1.0,32,32,1,1.0
6,0.5,11,0.007378163504454349,20,0.1,1.0,32,32,1,1.0
6,0.5,12,0.01031202774441948,20,0.1,1.0,32,32,1,1.0
6,0.5,13,0.005968648259312269,20,0.1,1.0,32,32,1,1.0
6,0.5,14,0.005587990219324261,20,0.1,1.0,32,32,1,1.0
6,0.5,15,0.0023658645707205672,20,0.1,1.0,32,32,1,1.0
