sequence,gate_count,layer,position_in_layer,gate_type,theta,q0,q1,exact_norm,tdvp_norm,tebd_norm,mpo_norm,infidelity_exact_tdvp,infidelity_exact_tebd,infidelity_exact_mpo,infidelity_tdvp_tebd,infidelity_tdvp_mpo,infidelity_tebd_mpo,exact_state_hash,gate_matrix_hash
mixed,16,6,1,rxx,0.05,2,9,0.9999999999999999,0.9999999999990402,1.000000004413161,1.000000000000004,4.765770000858538e-10,0.0,0.0,0.0,4.765692285246814e-10,0.0,9fc4d9df62e9ca3199e5641b8314a56ca9a8dcdc85ab1c434f8684086d96dec8,4cea9d9d874308fdc8cd223c38d24a7579054c3ccfd4a373df3a5363794dfaf4
mixed,17,6,2,rzz,0.05,2,8,1.0000000000000002,0.9999999999990066,1.0000000040381276,1.000000000000004,4.767237715697092e-10,0.0,0.0,0.0,4.767164440977467e-10,0.0,7f0fdfd7eb254a3e934643b735c03bcef9f8235c1b99bbf365d96b887b16cf76,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
mixed,18,6,3,ryy,0.05,3,9,1.0000000000000002,0.9999999999989629,1.0000000027411338,1.000000000000005,4.770992489966375e-10,0.0,0.0,0.0,4.770899231232306e-10,0.0,a26925a16cf94549d9f70ecb94b396c9ed23bd1cbb623e2b6f681547e42c0fa7,b284c1e73bdbddcd49f4bf63688996198da2369baffe0c4e1488eac4e855c903
mixed,19,7,1,rxx,0.05,2,9,1.0000000000000002,0.9999999999988898,1.0000000029431477,1.0000000000000047,4.771965045335946e-10,0.0,0.0,0.0,4.771878447940026e-10,0.0,344b34f32ee86c4e14eb782561211881249be4d471024c86a3008eccdb28efe4,4cea9d9d874308fdc8cd223c38d24a7579054c3ccfd4a373df3a5363794dfaf4
mixed,20,7,2,rzz,0.05,2,8,1.0000000000000002,0.9999999999988358,1.0000000023867017,1.0000000000000027,4.775098094711439e-10,0.0,0.0,0.0,4.775044804006257e-10,0.0,a4efe2b98908b316fb3dc0d1a4a3ab14826d514faaa160dbb7ba403e6e0c0688,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
mixed,21,7,3,ryy,0.05,3,9,1.0000000000000007,0.9999999999987681,1.00000000138043,1.000000000000003,4.781339768555881e-10,0.0,0.0,0.0,4.781290918742798e-10,0.0,1cbf1ecff68dc8416d0c8949e9520f87350c2a21fadebcbdadc31a6258934c74,b284c1e73bdbddcd49f4bf63688996198da2369baffe0c4e1488eac4e855c903
mixed,22,8,1,rxx,0.05,2,9,1.0000000000000004,0.9999999999986953,1.000000001683438,1.000000000000002,4.781555151822658e-10,0.0,0.0,0.0,4.781530726916117e-10,0.0,15429e49122f20c3ef396872d8b86ccbd870b877ce7f128d414d7d7fc1d57e39,4cea9d9d874308fdc8cd223c38d24a7579054c3ccfd4a373df3a5363794dfaf4
mixed,23,8,2,rzz,0.05,2,8,1.0000000000000004,0.9999999999986378,1.000000000922452,1.0000000000000036,4.784717066996791e-10,0.0,0.0,0.0,4.784643792277166e-10,0.0,fb2ff43ce65c6938a7b814f20ef0e736a8108e22871025cd921dbd308a51d3fc,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
mixed,24,8,3,ryy,0.05,3,9,1.0000000000000004,0.9999999999985419,1.00000000030363,1.0000000000000033,4.792928276486919e-10,0.0,0.0,0.0,4.792868324443589e-10,0.0,cdc5df30a26a6e60b1f3c457d40a888c77591cdc6804d0e6b6fe6f106dced6e0,b284c1e73bdbddcd49f4bf63688996198da2369baffe0c4e1488eac4e855c903
mixed,25,9,1,rxx,0.05,2,9,1.0000000000000007,0.999999999998479,1.0000000008556704,1.0000000000000038,4.792681806975452e-10,0.0,0.0,0.0,4.792619634486073e-10,0.0,ab2168ed1e6804e0231a5fbcf73e64af6d6a66c8cb4ddce226d2e39bb19a5f4f,4cea9d9d874308fdc8cd223c38d24a7579054c3ccfd4a373df3a5363794dfaf4
mixed,26,9,2,rzz,0.05,2,8,1.0000000000000004,0.9999999999984096,1.000000001621416,1.0000000000000038,4.796865127332239e-10,0.0,0.0,0.0,4.796791852612614e-10,0.0,582570c4bbedbba9c90ee602c4557a56235e931ac621ba1f69c87aee00d2f36f,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
mixed,27,9,3,ryy,0.05,3,9,1.0000000000000009,0.9999999999983489,1.0000000014606902,1.0000000000000027,4.801239406049262e-10,0.0,0.0,0.0,4.801199438020376e-10,0.0,95fb8bccb01b3d2b8004f8491d8d6d50b6175484c06f0677411c0b097f0450d6,b284c1e73bdbddcd49f4bf63688996198da2369baffe0c4e1488eac4e855c903
mixed,28,10,1,rxx,0.05,2,9,1.0000000000000004,0.9999999999982883,1.0000000026058575,1.0000000000000033,4.801226083372967e-10,0.0,0.0,0.0,4.801177233559883e-10,0.0,9283380046a64c0e0f2b22ed4714573eb0e15c8a6f69f9fd3cba2ae94a2e6fb6,4cea9d9d874308fdc8cd223c38d24a7579054c3ccfd4a373df3a5363794dfaf4
mixed,29,10,2,rzz,0.05,2,8,1.0000000000000007,0.9999999999981954,1.0000000035669312,1.000000000000003,4.807350073576799e-10,0.0,0.0,0.0,4.807301223763716e-10,0.0,d4cafd33b55bb4a93a251ca4019e4d295098e5f6d27ed3ef00af5255e7ea6018,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
mixed,30,10,3,ryy,0.05,3,9,1.0000000000000007,0.9999999999981346,1.0000000034447154,1.000000000000003,4.812310550050825e-10,0.0,0.0,0.0,4.812257259345643e-10,0.0,0a26757fba52438f0640ef94756fd315a2374065001e0594516d3d9de5d3dc3e,b284c1e73bdbddcd49f4bf63688996198da2369baffe0c4e1488eac4e855c903
