run_kind,build_method,total_time,J,cut,k,L,dt,object_type,valid,entropy,effective_rank,p1,numerical_rank,ipr,r_90,r_99,r_999,chi_1e-2,chi_1e-3,chi_1e-4,n_singular_values
main,exhaustive,0.4,2.0,1,3,6,0.1,response_centered,True,2.2024680825277785e-05,1.0000220249233704,0.9999984879307227,3,1.0000030241432976,1,1,1,3,2,1,4
main,exhaustive,0.4,2.0,1,3,6,0.1,response_uncentered,True,6.102933512483955e-06,1.0000061029521354,0.9999996171576527,4,1.0000007656849987,1,1,1,3,3,1,4
main,exhaustive,0.4,2.0,2,3,6,0.1,process_tensor,True,0.00192525441113052,1.0019271089033364,0.999799625178504,10,1.0004008313869008,1,1,1,62,61,60,64
main,exhaustive,0.4,2.0,2,3,6,0.1,response_centered,True,0.0030707499318952994,1.0030754695141166,0.9996606877320178,63,1.0006788573274106,1,1,1,62,61,60,64
main,exhaustive,0.4,2.0,2,3,6,0.1,response_uncentered,True,0.0014724922482339555,1.0014735768972582,0.9998508405779186,64,1.0002983638280394,1,1,1,62,61,60,64
main,exhaustive,0.4,2.0,3,3,6,0.1,process_tensor,True,0.003894638559216767,1.0039022325193465,0.9995530057627987,4,1.0008943880888699,1,1,1,14,14,14,16
main,exhaustive,0.4,2.0,3,3,6,0.1,response_centered,True,0.005154766193844574,1.0051680748589604,0.9993860160910438,12,1.001228721794229,1,1,1,10,10,9,12
main,exhaustive,0.4,2.0,3,3,6,0.1,response_uncentered,True,0.003204800542513619,1.0032099414061195,0.9996412424788301,12,1.0007177724645115,1,1,1,10,10,9,12
main,exhaustive,0.4,2.2,1,3,6,0.1,process_tensor,True,9.990920972019495e-06,1.0000099909708815,0.9999993556964561,4,1.0000012886079714,1,1,1,3,3,1,4
main,exhaustive,0.4,2.2,1,3,6,0.1,response_centered,True,3.264657993384679e-05,1.0000326471128393,0.9999976937839201,3,1.0000046124432305,1,1,1,3,2,1,4
main,exhaustive,0.4,2.2,1,3,6,0.1,response_uncentered,True,9.049657409157462e-06,1.0000090496983574,0.9999994174394629,4,1.000001165121781,1,1,1,3,3,1,4
main,exhaustive,0.4,2.2,2,3,6,0.1,process_tensor,True,0.002425638230488885,1.0024285824709742,0.9997411085937725,10,1.0005179198287482,1,1,1,62,61,60,64
main,exhaustive,0.4,2.2,2,3,6,0.1,response_centered,True,0.0044646298705438865,1.004474611179239,0.9994824954372671,63,1.001035550547314,1,1,1,62,61,59,64
main,exhaustive,0.4,2.2,2,3,6,0.1,response_uncentered,True,0.002152705090063264,1.0021550238232166,0.9997721466477206,64,1.0004558116600735,1,1,1,62,61,59,64
main,exhaustive,0.4,2.2,3,3,6,0.1,process_tensor,True,0.004835843736614522,1.0048475552997564,0.9994289242736929,4,1.001142803721042,1,1,1,14,14,13,16
main,exhaustive,0.4,2.2,3,3,6,0.1,response_centered,True,0.007026902928928606,1.0070516495413713,0.9991263054273825,12,1.0017489158815214,1,1,1,10,10,9,12
main,exhaustive,0.4,2.2,3,3,6,0.1,response_uncentered,True,0.004392307090027855,1.0044019674093323,0.9994879058883489,12,1.0010247127223322,1,1,1,10,10,9,12
main,exhaustive,0.4,2.4,1,3,6,0.1,process_tensor,True,1.2467015472551638e-05,1.000012467093186,0.9999991856336912,4,1.0000016287340459,1,1,1,3,3,1,4
main,exhaustive,0.4,2.4,1,3,6,0.1,response_centered,True,4.710279974785247e-05,1.0000471039091021,0.9999965795753581,3,1.0000068408737004,1,1,1,3,2,1,4
